********Training has started***************
 Epoch: [1 | 30]
(1/512) Data: 0.130s | Batch: 25.312s | Total: 0:00:25 | ETA: 0:00:00 | Loss: 1.1326 | Loss_x: 1.1216 | Loss_u: 0.0044 | W: 2.5000
(2/512) Data: 0.166s | Batch: 25.200s | Total: 0:00:50 | ETA: 0:00:00 | Loss: 1.1372 | Loss_x: 1.1056 | Loss_u: 0.0126 | W: 2.5024
(3/512) Data: 0.177s | Batch: 25.163s | Total: 0:01:15 | ETA: 0:00:00 | Loss: 1.0934 | Loss_x: 1.0672 | Loss_u: 0.0105 | W: 2.5049
(4/512) Data: 0.181s | Batch: 25.123s | Total: 0:01:40 | ETA: 0:00:00 | Loss: 1.0649 | Loss_x: 1.0346 | Loss_u: 0.0121 | W: 2.5073
(5/512) Data: 0.186s | Batch: 25.002s | Total: 0:02:05 | ETA: 0:00:00 | Loss: 1.0240 | Loss_x: 0.9923 | Loss_u: 0.0126 | W: 2.5098
(6/512) Data: 0.184s | Batch: 24.906s | Total: 0:02:29 | ETA: 0:00:00 | Loss: 1.0145 | Loss_x: 0.9831 | Loss_u: 0.0125 | W: 2.5122
(7/512) Data: 0.185s | Batch: 24.812s | Total: 0:02:53 | ETA: 0:00:00 | Loss: 1.0152 | Loss_x: 0.9822 | Loss_u: 0.0131 | W: 2.5146
(8/512) Data: 0.186s | Batch: 24.817s | Total: 0:03:18 | ETA: 0:00:00 | Loss: 0.9638 | Loss_x: 0.9303 | Loss_u: 0.0133 | W: 2.5171
(9/512) Data: 0.187s | Batch: 24.814s | Total: 0:03:43 | ETA: 0:00:00 | Loss: 0.9566 | Loss_x: 0.9210 | Loss_u: 0.0141 | W: 2.5195
(10/512) Data: 0.188s | Batch: 24.778s | Total: 0:04:07 | ETA: 0:00:00 | Loss: 0.9426 | Loss_x: 0.9073 | Loss_u: 0.0140 | W: 2.5220
(11/512) Data: 0.190s | Batch: 24.824s | Total: 0:04:33 | ETA: 0:00:00 | Loss: 0.9137 | Loss_x: 0.8774 | Loss_u: 0.0144 | W: 2.5244
(12/512) Data: 0.190s | Batch: 24.813s | Total: 0:04:57 | ETA: 0:00:00 | Loss: 0.8960 | Loss_x: 0.8569 | Loss_u: 0.0154 | W: 2.5269
(13/512) Data: 0.193s | Batch: 24.818s | Total: 0:05:22 | ETA: 0:00:00 | Loss: 0.8891 | Loss_x: 0.8506 | Loss_u: 0.0152 | W: 2.5293
(14/512) Data: 0.193s | Batch: 24.801s | Total: 0:05:47 | ETA: 0:00:00 | Loss: 0.8916 | Loss_x: 0.8496 | Loss_u: 0.0166 | W: 2.5317
(15/512) Data: 0.193s | Batch: 24.771s | Total: 0:06:11 | ETA: 0:00:00 | Loss: 0.8789 | Loss_x: 0.8361 | Loss_u: 0.0169 | W: 2.5342
(16/512) Data: 0.193s | Batch: 24.751s | Total: 0:06:36 | ETA: 0:00:00 | Loss: 0.8766 | Loss_x: 0.8338 | Loss_u: 0.0168 | W: 2.5366
(17/512) Data: 0.193s | Batch: 24.732s | Total: 0:07:00 | ETA: 0:00:00 | Loss: 0.8681 | Loss_x: 0.8254 | Loss_u: 0.0168 | W: 2.5391
(18/512) Data: 0.194s | Batch: 24.718s | Total: 0:07:24 | ETA: 0:00:00 | Loss: 0.8478 | Loss_x: 0.8060 | Loss_u: 0.0164 | W: 2.5415
(19/512) Data: 0.194s | Batch: 24.709s | Total: 0:07:49 | ETA: 0:00:00 | Loss: 0.8329 | Loss_x: 0.7918 | Loss_u: 0.0162 | W: 2.5439
(20/512) Data: 0.193s | Batch: 24.699s | Total: 0:08:13 | ETA: 0:00:00 | Loss: 0.8206 | Loss_x: 0.7802 | Loss_u: 0.0159 | W: 2.5464
(21/512) Data: 0.196s | Batch: 24.693s | Total: 0:08:38 | ETA: 0:00:00 | Loss: 0.8256 | Loss_x: 0.7837 | Loss_u: 0.0164 | W: 2.5488
(22/512) Data: 0.195s | Batch: 24.681s | Total: 0:09:03 | ETA: 0:00:00 | Loss: 0.8327 | Loss_x: 0.7883 | Loss_u: 0.0173 | W: 2.5513
(23/512) Data: 0.194s | Batch: 24.680s | Total: 0:09:27 | ETA: 0:00:00 | Loss: 0.8133 | Loss_x: 0.7688 | Loss_u: 0.0174 | W: 2.5537
(24/512) Data: 0.193s | Batch: 24.678s | Total: 0:09:52 | ETA: 0:00:00 | Loss: 0.8122 | Loss_x: 0.7671 | Loss_u: 0.0176 | W: 2.5562
(25/512) Data: 0.194s | Batch: 24.669s | Total: 0:10:16 | ETA: 0:00:00 | Loss: 0.8086 | Loss_x: 0.7633 | Loss_u: 0.0177 | W: 2.5586
(26/512) Data: 0.193s | Batch: 24.659s | Total: 0:10:41 | ETA: 0:00:00 | Loss: 0.7950 | Loss_x: 0.7489 | Loss_u: 0.0180 | W: 2.5610
(27/512) Data: 0.193s | Batch: 24.645s | Total: 0:11:05 | ETA: 0:00:00 | Loss: 0.7877 | Loss_x: 0.7413 | Loss_u: 0.0181 | W: 2.5635
(28/512) Data: 0.193s | Batch: 24.638s | Total: 0:11:29 | ETA: 0:00:00 | Loss: 0.7842 | Loss_x: 0.7362 | Loss_u: 0.0187 | W: 2.5659
(29/512) Data: 0.193s | Batch: 24.638s | Total: 0:11:54 | ETA: 0:00:00 | Loss: 0.7775 | Loss_x: 0.7298 | Loss_u: 0.0185 | W: 2.5684
(30/512) Data: 0.193s | Batch: 24.630s | Total: 0:12:18 | ETA: 0:00:00 | Loss: 0.7587 | Loss_x: 0.7110 | Loss_u: 0.0185 | W: 2.5708
(31/512) Data: 0.193s | Batch: 24.622s | Total: 0:12:43 | ETA: 0:00:00 | Loss: 0.7654 | Loss_x: 0.7164 | Loss_u: 0.0190 | W: 2.5732
(32/512) Data: 0.193s | Batch: 24.621s | Total: 0:13:07 | ETA: 0:00:00 | Loss: 0.7680 | Loss_x: 0.7169 | Loss_u: 0.0198 | W: 2.5757
(33/512) Data: 0.193s | Batch: 24.612s | Total: 0:13:32 | ETA: 0:00:00 | Loss: 0.7606 | Loss_x: 0.7087 | Loss_u: 0.0200 | W: 2.5781
(34/512) Data: 0.194s | Batch: 24.610s | Total: 0:13:56 | ETA: 0:00:00 | Loss: 0.7580 | Loss_x: 0.7063 | Loss_u: 0.0199 | W: 2.5806
(35/512) Data: 0.193s | Batch: 24.603s | Total: 0:14:21 | ETA: 0:00:00 | Loss: 0.7473 | Loss_x: 0.6966 | Loss_u: 0.0196 | W: 2.5830
(36/512) Data: 0.193s | Batch: 24.594s | Total: 0:14:45 | ETA: 0:00:00 | Loss: 0.7455 | Loss_x: 0.6941 | Loss_u: 0.0198 | W: 2.5854
(37/512) Data: 0.194s | Batch: 24.626s | Total: 0:15:11 | ETA: 0:00:00 | Loss: 0.7388 | Loss_x: 0.6875 | Loss_u: 0.0198 | W: 2.5879
(38/512) Data: 0.194s | Batch: 24.659s | Total: 0:15:37 | ETA: 0:00:00 | Loss: 0.7500 | Loss_x: 0.6968 | Loss_u: 0.0205 | W: 2.5903
(39/512) Data: 0.194s | Batch: 24.734s | Total: 0:16:04 | ETA: 0:00:00 | Loss: 0.7388 | Loss_x: 0.6860 | Loss_u: 0.0203 | W: 2.5928
(40/512) Data: 0.195s | Batch: 24.773s | Total: 0:16:30 | ETA: 0:00:00 | Loss: 0.7344 | Loss_x: 0.6818 | Loss_u: 0.0202 | W: 2.5952
(41/512) Data: 0.196s | Batch: 24.822s | Total: 0:16:57 | ETA: 0:00:00 | Loss: 0.7364 | Loss_x: 0.6833 | Loss_u: 0.0204 | W: 2.5977
(42/512) Data: 0.196s | Batch: 24.846s | Total: 0:17:23 | ETA: 0:00:00 | Loss: 0.7272 | Loss_x: 0.6744 | Loss_u: 0.0202 | W: 2.6001
(43/512) Data: 0.196s | Batch: 24.930s | Total: 0:17:51 | ETA: 0:00:00 | Loss: 0.7274 | Loss_x: 0.6747 | Loss_u: 0.0202 | W: 2.6025
