********Training has started***************
 Epoch: [1 | 30]
(1/512) Data: 0.145s | Batch: 22.274s | Total: 0:00:22 | ETA: 0:00:00 | Loss: 1.1257 | Loss_x: 1.1037 | Loss_u: 0.0088 | W: 2.5000
(2/512) Data: 0.142s | Batch: 22.170s | Total: 0:00:44 | ETA: 0:00:00 | Loss: 1.1074 | Loss_x: 1.0665 | Loss_u: 0.0163 | W: 2.5024
(3/512) Data: 0.161s | Batch: 22.838s | Total: 0:01:08 | ETA: 0:00:00 | Loss: 1.0837 | Loss_x: 1.0493 | Loss_u: 0.0137 | W: 2.5049
(4/512) Data: 0.159s | Batch: 23.083s | Total: 0:01:32 | ETA: 0:00:00 | Loss: 1.0580 | Loss_x: 1.0234 | Loss_u: 0.0138 | W: 2.5073
(5/512) Data: 0.162s | Batch: 23.152s | Total: 0:01:55 | ETA: 0:00:00 | Loss: 1.0253 | Loss_x: 0.9906 | Loss_u: 0.0138 | W: 2.5098
(6/512) Data: 0.163s | Batch: 22.912s | Total: 0:02:17 | ETA: 0:00:00 | Loss: 1.0096 | Loss_x: 0.9739 | Loss_u: 0.0142 | W: 2.5122
(7/512) Data: 0.163s | Batch: 22.761s | Total: 0:02:39 | ETA: 0:00:00 | Loss: 1.0079 | Loss_x: 0.9713 | Loss_u: 0.0146 | W: 2.5146
(8/512) Data: 0.166s | Batch: 22.599s | Total: 0:03:00 | ETA: 0:00:00 | Loss: 0.9558 | Loss_x: 0.9184 | Loss_u: 0.0149 | W: 2.5171
(9/512) Data: 0.168s | Batch: 22.477s | Total: 0:03:22 | ETA: 0:00:00 | Loss: 0.9432 | Loss_x: 0.9045 | Loss_u: 0.0153 | W: 2.5195
(10/512) Data: 0.167s | Batch: 22.381s | Total: 0:03:43 | ETA: 0:00:00 | Loss: 0.9239 | Loss_x: 0.8851 | Loss_u: 0.0154 | W: 2.5220
(11/512) Data: 0.168s | Batch: 22.302s | Total: 0:04:05 | ETA: 0:00:00 | Loss: 0.8886 | Loss_x: 0.8496 | Loss_u: 0.0154 | W: 2.5244
(12/512) Data: 0.168s | Batch: 22.232s | Total: 0:04:26 | ETA: 0:00:00 | Loss: 0.8782 | Loss_x: 0.8365 | Loss_u: 0.0165 | W: 2.5269
(13/512) Data: 0.169s | Batch: 22.208s | Total: 0:04:48 | ETA: 0:00:00 | Loss: 0.8677 | Loss_x: 0.8262 | Loss_u: 0.0164 | W: 2.5293
(14/512) Data: 0.170s | Batch: 22.150s | Total: 0:05:10 | ETA: 0:00:00 | Loss: 0.8676 | Loss_x: 0.8233 | Loss_u: 0.0175 | W: 2.5317
(15/512) Data: 0.170s | Batch: 22.100s | Total: 0:05:31 | ETA: 0:00:00 | Loss: 0.8564 | Loss_x: 0.8113 | Loss_u: 0.0178 | W: 2.5342
(16/512) Data: 0.170s | Batch: 22.072s | Total: 0:05:53 | ETA: 0:00:00 | Loss: 0.8501 | Loss_x: 0.8053 | Loss_u: 0.0176 | W: 2.5366
(17/512) Data: 0.170s | Batch: 22.072s | Total: 0:06:15 | ETA: 0:00:00 | Loss: 0.8413 | Loss_x: 0.7966 | Loss_u: 0.0176 | W: 2.5391
(18/512) Data: 0.171s | Batch: 22.035s | Total: 0:06:36 | ETA: 0:00:00 | Loss: 0.8214 | Loss_x: 0.7780 | Loss_u: 0.0171 | W: 2.5415
(19/512) Data: 0.170s | Batch: 21.996s | Total: 0:06:57 | ETA: 0:00:00 | Loss: 0.8058 | Loss_x: 0.7630 | Loss_u: 0.0168 | W: 2.5439
(20/512) Data: 0.169s | Batch: 21.964s | Total: 0:07:19 | ETA: 0:00:00 | Loss: 0.7955 | Loss_x: 0.7536 | Loss_u: 0.0165 | W: 2.5464
(21/512) Data: 0.168s | Batch: 21.936s | Total: 0:07:40 | ETA: 0:00:00 | Loss: 0.8032 | Loss_x: 0.7592 | Loss_u: 0.0173 | W: 2.5488
(22/512) Data: 0.167s | Batch: 21.915s | Total: 0:08:02 | ETA: 0:00:00 | Loss: 0.8110 | Loss_x: 0.7644 | Loss_u: 0.0182 | W: 2.5513
(23/512) Data: 0.168s | Batch: 21.893s | Total: 0:08:23 | ETA: 0:00:00 | Loss: 0.7909 | Loss_x: 0.7443 | Loss_u: 0.0182 | W: 2.5537
