********Training has started***************
 Epoch: [1 | 10]
(1/32) Data: 0.121s | Batch: 30.617s | Total: 0:00:30 | ETA: 0:00:00 | Loss: 1.1517 | Loss_x: 1.1198 | Loss_u: 0.0042 | W: 7.5000
(2/32) Data: 0.148s | Batch: 27.705s | Total: 0:00:55 | ETA: 0:00:00 | Loss: 1.1968 | Loss_x: 1.1178 | Loss_u: 0.0103 | W: 7.6172
(3/32) Data: 0.170s | Batch: 26.524s | Total: 0:01:19 | ETA: 0:00:00 | Loss: 1.1460 | Loss_x: 1.0753 | Loss_u: 0.0091 | W: 7.7344
(4/32) Data: 0.173s | Batch: 25.904s | Total: 0:01:43 | ETA: 0:00:00 | Loss: 1.1254 | Loss_x: 1.0437 | Loss_u: 0.0103 | W: 7.8516
(5/32) Data: 0.177s | Batch: 25.529s | Total: 0:02:07 | ETA: 0:00:00 | Loss: 1.0919 | Loss_x: 1.0067 | Loss_u: 0.0106 | W: 7.9688
(6/32) Data: 0.179s | Batch: 25.256s | Total: 0:02:31 | ETA: 0:00:00 | Loss: 1.0797 | Loss_x: 0.9896 | Loss_u: 0.0111 | W: 8.0859
(7/32) Data: 0.182s | Batch: 25.085s | Total: 0:02:55 | ETA: 0:00:00 | Loss: 1.0939 | Loss_x: 0.9931 | Loss_u: 0.0121 | W: 8.2031
(8/32) Data: 0.183s | Batch: 24.948s | Total: 0:03:19 | ETA: 0:00:00 | Loss: 1.0494 | Loss_x: 0.9396 | Loss_u: 0.0130 | W: 8.3203
(9/32) Data: 0.183s | Batch: 24.819s | Total: 0:03:43 | ETA: 0:00:00 | Loss: 1.0470 | Loss_x: 0.9284 | Loss_u: 0.0138 | W: 8.4375
(10/32) Data: 0.183s | Batch: 24.718s | Total: 0:04:07 | ETA: 0:00:00 | Loss: 1.0402 | Loss_x: 0.9196 | Loss_u: 0.0138 | W: 8.5547
(11/32) Data: 0.183s | Batch: 24.630s | Total: 0:04:30 | ETA: 0:00:00 | Loss: 1.0229 | Loss_x: 0.8959 | Loss_u: 0.0143 | W: 8.6719
(12/32) Data: 0.183s | Batch: 24.553s | Total: 0:04:54 | ETA: 0:00:00 | Loss: 1.0040 | Loss_x: 0.8700 | Loss_u: 0.0149 | W: 8.7891
(13/32) Data: 0.184s | Batch: 24.526s | Total: 0:05:18 | ETA: 0:00:00 | Loss: 1.0004 | Loss_x: 0.8689 | Loss_u: 0.0145 | W: 8.9062
(14/32) Data: 0.186s | Batch: 24.472s | Total: 0:05:42 | ETA: 0:00:00 | Loss: 1.0282 | Loss_x: 0.8777 | Loss_u: 0.0162 | W: 9.0234
(15/32) Data: 0.187s | Batch: 24.448s | Total: 0:06:06 | ETA: 0:00:00 | Loss: 1.0182 | Loss_x: 0.8638 | Loss_u: 0.0164 | W: 9.1406
(16/32) Data: 0.188s | Batch: 24.402s | Total: 0:06:30 | ETA: 0:00:00 | Loss: 1.0287 | Loss_x: 0.8725 | Loss_u: 0.0164 | W: 9.2578
(17/32) Data: 0.187s | Batch: 24.365s | Total: 0:06:54 | ETA: 0:00:00 | Loss: 1.0279 | Loss_x: 0.8673 | Loss_u: 0.0166 | W: 9.3750
(18/32) Data: 0.187s | Batch: 24.332s | Total: 0:07:17 | ETA: 0:00:00 | Loss: 1.0029 | Loss_x: 0.8445 | Loss_u: 0.0163 | W: 9.4922
(19/32) Data: 0.188s | Batch: 24.307s | Total: 0:07:41 | ETA: 0:00:00 | Loss: 0.9903 | Loss_x: 0.8340 | Loss_u: 0.0160 | W: 9.6094
(20/32) Data: 0.188s | Batch: 24.281s | Total: 0:08:05 | ETA: 0:00:00 | Loss: 0.9756 | Loss_x: 0.8216 | Loss_u: 0.0156 | W: 9.7266
(21/32) Data: 0.188s | Batch: 24.253s | Total: 0:08:29 | ETA: 0:00:00 | Loss: 0.9819 | Loss_x: 0.8234 | Loss_u: 0.0159 | W: 9.8438
(22/32) Data: 0.189s | Batch: 24.228s | Total: 0:08:53 | ETA: 0:00:00 | Loss: 1.0005 | Loss_x: 0.8293 | Loss_u: 0.0167 | W: 9.9609
(23/32) Data: 0.188s | Batch: 24.214s | Total: 0:09:16 | ETA: 0:00:00 | Loss: 0.9824 | Loss_x: 0.8089 | Loss_u: 0.0168 | W: 10.0781
(24/32) Data: 0.188s | Batch: 24.198s | Total: 0:09:40 | ETA: 0:00:00 | Loss: 0.9822 | Loss_x: 0.8069 | Loss_u: 0.0168 | W: 10.1953
(25/32) Data: 0.188s | Batch: 24.186s | Total: 0:10:04 | ETA: 0:00:00 | Loss: 0.9806 | Loss_x: 0.8017 | Loss_u: 0.0169 | W: 10.3125
(26/32) Data: 0.187s | Batch: 24.165s | Total: 0:10:28 | ETA: 0:00:00 | Loss: 0.9698 | Loss_x: 0.7875 | Loss_u: 0.0170 | W: 10.4297
(27/32) Data: 0.188s | Batch: 24.161s | Total: 0:10:52 | ETA: 0:00:00 | Loss: 0.9641 | Loss_x: 0.7783 | Loss_u: 0.0172 | W: 10.5469
(28/32) Data: 0.187s | Batch: 24.145s | Total: 0:11:16 | ETA: 0:00:00 | Loss: 0.9662 | Loss_x: 0.7702 | Loss_u: 0.0178 | W: 10.6641
(29/32) Data: 0.186s | Batch: 24.129s | Total: 0:11:39 | ETA: 0:00:00 | Loss: 0.9597 | Loss_x: 0.7632 | Loss_u: 0.0177 | W: 10.7812
(30/32) Data: 0.186s | Batch: 24.124s | Total: 0:12:03 | ETA: 0:00:00 | Loss: 0.9441 | Loss_x: 0.7442 | Loss_u: 0.0178 | W: 10.8984
(31/32) Data: 0.185s | Batch: 24.108s | Total: 0:12:27 | ETA: 0:00:00 | Loss: 0.9560 | Loss_x: 0.7490 | Loss_u: 0.0181 | W: 11.0156
(32/32) Data: 0.185s | Batch: 24.101s | Total: 0:12:51 | ETA: 0:00:00 | Loss: 0.9657 | Loss_x: 0.7488 | Loss_u: 0.0187 | W: 11.1328
************Train_stats*************
(1/3) Data: 0.061s | Batch: 1.939s | Total: 0:00:01 | ETA: 0:00:00 | Loss: 1.4139 | Accuracy: 0.1250 | Macro_F1_score: 0.0952 | Micro_F1_score: 0.1250
(2/3) Data: 1.039s | Batch: 2.932s | Total: 0:00:03 | ETA: 0:00:00 | Loss: 1.2622 | Accuracy: 0.2500 | Macro_F1_score: 0.1385 | Micro_F1_score: 0.2500
(3/3) Data: 2.028s | Batch: 3.911s | Total: 0:00:05 | ETA: 0:00:00 | Loss: 1.2026 | Accuracy: 0.3125 | Macro_F1_score: 0.1631 | Micro_F1_score: 0.3125
************Validation Stats*************
(1/3) Data: 0.085s | Batch: 2.597s | Total: 0:00:02 | ETA: 0:00:00 | Loss: 1.2097 | Accuracy: 0.3125 | Macro_F1_score: 0.1481 | Micro_F1_score: 0.3125
(2/3) Data: 1.383s | Batch: 3.908s | Total: 0:00:05 | ETA: 0:00:00 | Loss: 1.2204 | Accuracy: 0.2500 | Macro_F1_score: 0.1329 | Micro_F1_score: 0.2500
(3/3) Data: 2.692s | Batch: 5.235s | Total: 0:00:07 | ETA: 0:00:00 | Loss: 1.1607 | Accuracy: 0.3333 | Macro_F1_score: 0.1664 | Micro_F1_score: 0.3333
************Test Stats *************
(1/56) Data: 0.060s | Batch: 2.617s | Total: 0:00:02 | ETA: 0:00:00 | Loss: 1.1197 | Accuracy: 0.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.0000
(2/56) Data: 1.369s | Batch: 3.917s | Total: 0:00:05 | ETA: 0:00:00 | Loss: 1.1182 | Accuracy: 0.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.0000
(3/56) Data: 2.676s | Batch: 5.217s | Total: 0:00:07 | ETA: 0:00:00 | Loss: 1.0981 | Accuracy: 0.1042 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.1042
(4/56) Data: 3.976s | Batch: 6.518s | Total: 0:00:10 | ETA: 0:00:00 | Loss: 1.0802 | Accuracy: 0.1562 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.1562
(5/56) Data: 5.278s | Batch: 7.817s | Total: 0:00:13 | ETA: 0:00:00 | Loss: 1.0779 | Accuracy: 0.1500 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.1500
(6/56) Data: 6.578s | Batch: 9.122s | Total: 0:00:15 | ETA: 0:00:00 | Loss: 1.0655 | Accuracy: 0.1875 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.1875
(7/56) Data: 7.882s | Batch: 10.421s | Total: 0:00:18 | ETA: 0:00:00 | Loss: 1.0667 | Accuracy: 0.1786 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.1786
(8/56) Data: 9.182s | Batch: 11.725s | Total: 0:00:20 | ETA: 0:00:00 | Loss: 1.0741 | Accuracy: 0.1562 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.1562
(9/56) Data: 10.486s | Batch: 13.030s | Total: 0:00:23 | ETA: 0:00:00 | Loss: 1.0778 | Accuracy: 0.1528 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.1528
(10/56) Data: 11.792s | Batch: 14.334s | Total: 0:00:26 | ETA: 0:00:00 | Loss: 1.0848 | Accuracy: 0.1375 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.1375
(11/56) Data: 13.097s | Batch: 15.641s | Total: 0:00:28 | ETA: 0:00:00 | Loss: 1.0881 | Accuracy: 0.1250 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.1250
(12/56) Data: 14.403s | Batch: 16.942s | Total: 0:00:31 | ETA: 0:00:00 | Loss: 1.0872 | Accuracy: 0.1354 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.1354
