********Training has started***************
 Epoch: [1 | 2]
(1/2) Data: 2.064s | Batch: 43.236s | Total: 0:00:43 | ETA: 0:00:00 | Loss: 0.8765 | Loss_x: 0.7166 | Loss_u: 0.0043 | W: 37.5000
(2/2) Data: 1.847s | Batch: 44.901s | Total: 0:01:29 | ETA: 0:00:00 | Loss: 1.0158 | Loss_x: 0.6957 | Loss_u: 0.0064 | W: 46.8750
************Train_stats*************
(1/2) Data: 0.771s | Batch: 4.074s | Total: 0:00:04 | ETA: 0:00:00 | Loss: 0.6834 | Accuracy: 0.5625 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.5625
(2/2) Data: 2.847s | Batch: 6.095s | Total: 0:00:08 | ETA: 0:00:00 | Loss: 0.6948 | Accuracy: 0.5312 | Macro_F1_score: 0.0833 | Micro_F1_score: 0.5312
************Validation Stats*************
(1/2) Data: 0.821s | Batch: 4.807s | Total: 0:00:04 | ETA: 0:00:00 | Loss: 0.6832 | Accuracy: 0.6875 | Macro_F1_score: 0.3333 | Micro_F1_score: 0.6875
(2/2) Data: 3.235s | Batch: 7.362s | Total: 0:00:09 | ETA: 0:00:00 | Loss: 0.6775 | Accuracy: 0.6250 | Macro_F1_score: 0.3246 | Micro_F1_score: 0.6250
************Test Stats *************
(1/27) Data: 0.545s | Batch: 5.510s | Total: 0:00:05 | ETA: 0:00:00 | Loss: 0.7124 | Accuracy: 0.3750 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.3750
(2/27) Data: 3.326s | Batch: 7.813s | Total: 0:00:10 | ETA: 0:00:00 | Loss: 0.7002 | Accuracy: 0.4688 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4688
(3/27) Data: 5.776s | Batch: 10.100s | Total: 0:00:14 | ETA: 0:00:00 | Loss: 0.7077 | Accuracy: 0.4167 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4167
(4/27) Data: 8.109s | Batch: 12.377s | Total: 0:00:19 | ETA: 0:00:00 | Loss: 0.7095 | Accuracy: 0.3906 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.3906
(5/27) Data: 10.541s | Batch: 14.695s | Total: 0:00:23 | ETA: 0:00:00 | Loss: 0.7062 | Accuracy: 0.4125 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4125
(6/27) Data: 12.838s | Batch: 17.018s | Total: 0:00:28 | ETA: 0:00:00 | Loss: 0.7037 | Accuracy: 0.4167 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4167
(7/27) Data: 15.222s | Batch: 19.442s | Total: 0:00:33 | ETA: 0:00:00 | Loss: 0.6968 | Accuracy: 0.4554 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4554
(8/27) Data: 17.707s | Batch: 21.902s | Total: 0:00:39 | ETA: 0:00:00 | Loss: 0.6964 | Accuracy: 0.4531 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4531
