********Training has started***************
 Epoch: [1 | 30]
(1/512) Data: 1.429s | Batch: 25.910s | Total: 0:00:25 | ETA: 0:00:00 | Loss: 0.7257 | Loss_x: 0.7055 | Loss_u: 0.0081 | W: 2.5000
(2/512) Data: 1.587s | Batch: 25.315s | Total: 0:00:50 | ETA: 0:00:00 | Loss: 0.6927 | Loss_x: 0.6706 | Loss_u: 0.0088 | W: 2.5024
(3/512) Data: 1.635s | Batch: 24.965s | Total: 0:01:14 | ETA: 0:00:00 | Loss: 0.6592 | Loss_x: 0.6334 | Loss_u: 0.0103 | W: 2.5049
(4/512) Data: 1.631s | Batch: 24.744s | Total: 0:01:38 | ETA: 0:00:00 | Loss: 0.6634 | Loss_x: 0.6339 | Loss_u: 0.0117 | W: 2.5073
(5/512) Data: 1.590s | Batch: 24.606s | Total: 0:02:03 | ETA: 0:00:00 | Loss: 0.6492 | Loss_x: 0.6165 | Loss_u: 0.0130 | W: 2.5098
(6/512) Data: 1.593s | Batch: 24.545s | Total: 0:02:27 | ETA: 0:00:00 | Loss: 0.5973 | Loss_x: 0.5637 | Loss_u: 0.0134 | W: 2.5122
(7/512) Data: 1.634s | Batch: 24.569s | Total: 0:02:51 | ETA: 0:00:00 | Loss: 0.5816 | Loss_x: 0.5451 | Loss_u: 0.0145 | W: 2.5146
(8/512) Data: 1.613s | Batch: 24.564s | Total: 0:03:16 | ETA: 0:00:00 | Loss: 0.5663 | Loss_x: 0.5266 | Loss_u: 0.0157 | W: 2.5171
(9/512) Data: 1.592s | Batch: 24.596s | Total: 0:03:41 | ETA: 0:00:00 | Loss: 0.5607 | Loss_x: 0.5216 | Loss_u: 0.0155 | W: 2.5195
(10/512) Data: 1.609s | Batch: 25.241s | Total: 0:04:12 | ETA: 0:00:00 | Loss: 0.5555 | Loss_x: 0.5131 | Loss_u: 0.0168 | W: 2.5220
(11/512) Data: 1.610s | Batch: 25.293s | Total: 0:04:38 | ETA: 0:00:00 | Loss: 0.5362 | Loss_x: 0.4935 | Loss_u: 0.0169 | W: 2.5244
(12/512) Data: 1.634s | Batch: 25.277s | Total: 0:05:03 | ETA: 0:00:00 | Loss: 0.5472 | Loss_x: 0.5022 | Loss_u: 0.0178 | W: 2.5269
(13/512) Data: 1.656s | Batch: 25.230s | Total: 0:05:28 | ETA: 0:00:00 | Loss: 0.5269 | Loss_x: 0.4832 | Loss_u: 0.0172 | W: 2.5293
(14/512) Data: 1.645s | Batch: 25.155s | Total: 0:05:52 | ETA: 0:00:00 | Loss: 0.5239 | Loss_x: 0.4768 | Loss_u: 0.0186 | W: 2.5317
(15/512) Data: 1.633s | Batch: 25.072s | Total: 0:06:16 | ETA: 0:00:00 | Loss: 0.5120 | Loss_x: 0.4630 | Loss_u: 0.0193 | W: 2.5342
(16/512) Data: 1.639s | Batch: 25.026s | Total: 0:06:40 | ETA: 0:00:00 | Loss: 0.5156 | Loss_x: 0.4660 | Loss_u: 0.0195 | W: 2.5366
(17/512) Data: 1.641s | Batch: 24.989s | Total: 0:07:04 | ETA: 0:00:00 | Loss: 0.5114 | Loss_x: 0.4587 | Loss_u: 0.0207 | W: 2.5391
(18/512) Data: 1.644s | Batch: 24.949s | Total: 0:07:29 | ETA: 0:00:00 | Loss: 0.5133 | Loss_x: 0.4593 | Loss_u: 0.0212 | W: 2.5415
(19/512) Data: 1.631s | Batch: 24.905s | Total: 0:07:53 | ETA: 0:00:00 | Loss: 0.5160 | Loss_x: 0.4601 | Loss_u: 0.0219 | W: 2.5439
(20/512) Data: 1.638s | Batch: 24.893s | Total: 0:08:17 | ETA: 0:00:00 | Loss: 0.4999 | Loss_x: 0.4453 | Loss_u: 0.0214 | W: 2.5464
(21/512) Data: 1.627s | Batch: 24.852s | Total: 0:08:41 | ETA: 0:00:00 | Loss: 0.4963 | Loss_x: 0.4421 | Loss_u: 0.0212 | W: 2.5488
(22/512) Data: 1.618s | Batch: 24.814s | Total: 0:09:05 | ETA: 0:00:00 | Loss: 0.4941 | Loss_x: 0.4392 | Loss_u: 0.0215 | W: 2.5513
(23/512) Data: 1.622s | Batch: 24.794s | Total: 0:09:30 | ETA: 0:00:00 | Loss: 0.4963 | Loss_x: 0.4388 | Loss_u: 0.0224 | W: 2.5537
(24/512) Data: 1.620s | Batch: 24.804s | Total: 0:09:55 | ETA: 0:00:00 | Loss: 0.4845 | Loss_x: 0.4289 | Loss_u: 0.0217 | W: 2.5562
(25/512) Data: 1.603s | Batch: 24.803s | Total: 0:10:20 | ETA: 0:00:00 | Loss: 0.4932 | Loss_x: 0.4369 | Loss_u: 0.0219 | W: 2.5586
(26/512) Data: 1.607s | Batch: 24.778s | Total: 0:10:44 | ETA: 0:00:00 | Loss: 0.4989 | Loss_x: 0.4425 | Loss_u: 0.0220 | W: 2.5610
(27/512) Data: 1.625s | Batch: 24.852s | Total: 0:11:11 | ETA: 0:00:00 | Loss: 0.4872 | Loss_x: 0.4318 | Loss_u: 0.0216 | W: 2.5635
(28/512) Data: 1.631s | Batch: 24.837s | Total: 0:11:35 | ETA: 0:00:00 | Loss: 0.4829 | Loss_x: 0.4277 | Loss_u: 0.0215 | W: 2.5659
(29/512) Data: 1.639s | Batch: 25.146s | Total: 0:12:09 | ETA: 0:00:00 | Loss: 0.4755 | Loss_x: 0.4211 | Loss_u: 0.0211 | W: 2.5684
(30/512) Data: 1.644s | Batch: 25.137s | Total: 0:12:34 | ETA: 0:00:00 | Loss: 0.4658 | Loss_x: 0.4119 | Loss_u: 0.0209 | W: 2.5708
(31/512) Data: 1.649s | Batch: 25.118s | Total: 0:12:58 | ETA: 0:00:00 | Loss: 0.4549 | Loss_x: 0.4021 | Loss_u: 0.0205 | W: 2.5732
(32/512) Data: 1.646s | Batch: 25.093s | Total: 0:13:22 | ETA: 0:00:00 | Loss: 0.4619 | Loss_x: 0.4085 | Loss_u: 0.0207 | W: 2.5757
(33/512) Data: 1.642s | Batch: 25.087s | Total: 0:13:47 | ETA: 0:00:00 | Loss: 0.4595 | Loss_x: 0.4065 | Loss_u: 0.0205 | W: 2.5781
(34/512) Data: 1.658s | Batch: 25.076s | Total: 0:14:12 | ETA: 0:00:00 | Loss: 0.4533 | Loss_x: 0.4012 | Loss_u: 0.0202 | W: 2.5806
(35/512) Data: 1.653s | Batch: 25.042s | Total: 0:14:36 | ETA: 0:00:00 | Loss: 0.4458 | Loss_x: 0.3943 | Loss_u: 0.0200 | W: 2.5830
(36/512) Data: 1.653s | Batch: 25.015s | Total: 0:15:00 | ETA: 0:00:00 | Loss: 0.4419 | Loss_x: 0.3904 | Loss_u: 0.0199 | W: 2.5854
(37/512) Data: 1.651s | Batch: 24.984s | Total: 0:15:24 | ETA: 0:00:00 | Loss: 0.4404 | Loss_x: 0.3895 | Loss_u: 0.0197 | W: 2.5879
(38/512) Data: 1.651s | Batch: 24.956s | Total: 0:15:48 | ETA: 0:00:00 | Loss: 0.4355 | Loss_x: 0.3853 | Loss_u: 0.0194 | W: 2.5903
(39/512) Data: 1.650s | Batch: 24.934s | Total: 0:16:12 | ETA: 0:00:00 | Loss: 0.4362 | Loss_x: 0.3852 | Loss_u: 0.0197 | W: 2.5928
(40/512) Data: 1.647s | Batch: 24.918s | Total: 0:16:36 | ETA: 0:00:00 | Loss: 0.4389 | Loss_x: 0.3878 | Loss_u: 0.0197 | W: 2.5952
(41/512) Data: 1.652s | Batch: 24.904s | Total: 0:17:01 | ETA: 0:00:00 | Loss: 0.4330 | Loss_x: 0.3821 | Loss_u: 0.0196 | W: 2.5977
(42/512) Data: 1.646s | Batch: 24.892s | Total: 0:17:25 | ETA: 0:00:00 | Loss: 0.4343 | Loss_x: 0.3835 | Loss_u: 0.0196 | W: 2.6001
(43/512) Data: 1.648s | Batch: 24.893s | Total: 0:17:50 | ETA: 0:00:00 | Loss: 0.4305 | Loss_x: 0.3804 | Loss_u: 0.0193 | W: 2.6025
(44/512) Data: 1.650s | Batch: 24.883s | Total: 0:18:14 | ETA: 0:00:00 | Loss: 0.4233 | Loss_x: 0.3741 | Loss_u: 0.0189 | W: 2.6050
