********Training has started***************
 Epoch: [1 | 3]
(1/2) Data: 0.195s | Batch: 21.729s | Total: 0:00:21 | ETA: 0:00:00 | Loss: 0.8385 | Loss_x: 0.7022 | Loss_u: 0.0054 | W: 25.0000
(2/2) Data: 0.248s | Batch: 22.200s | Total: 0:00:44 | ETA: 0:00:00 | Loss: 0.8172 | Loss_x: 0.6705 | Loss_u: 0.0048 | W: 31.2500
************Train_stats*************
(1/2) Data: 0.104s | Batch: 2.003s | Total: 0:00:02 | ETA: 0:00:00 | Loss: 0.6140 | Accuracy: 0.7500 | Macro_F1_score: 0.4000 | Micro_F1_score: 0.7500
(2/2) Data: 1.100s | Batch: 2.968s | Total: 0:00:03 | ETA: 0:00:00 | Loss: 0.6648 | Accuracy: 0.6250 | Macro_F1_score: 0.3250 | Micro_F1_score: 0.6250
************Validation Stats*************
(1/2) Data: 0.109s | Batch: 2.544s | Total: 0:00:02 | ETA: 0:00:00 | Loss: 0.6365 | Accuracy: 0.7500 | Macro_F1_score: 0.4000 | Micro_F1_score: 0.7500
(2/2) Data: 1.389s | Batch: 3.912s | Total: 0:00:05 | ETA: 0:00:00 | Loss: 0.6390 | Accuracy: 0.6875 | Macro_F1_score: 0.3818 | Micro_F1_score: 0.6875
************Test Stats *************
 Epoch: [2 | 3]
(1/2) Data: 0.274s | Batch: 24.468s | Total: 0:00:24 | ETA: 0:00:00 | Loss: 1.1779 | Loss_x: 0.5461 | Loss_u: 0.0126 | W: 50.0000
(2/2) Data: 0.262s | Batch: 23.455s | Total: 0:00:46 | ETA: 0:00:00 | Loss: 1.2180 | Loss_x: 0.5307 | Loss_u: 0.0123 | W: 56.2500
************Train_stats*************
(1/2) Data: 0.084s | Batch: 1.871s | Total: 0:00:01 | ETA: 0:00:00 | Loss: 0.6505 | Accuracy: 0.5625 | Macro_F1_score: 0.3600 | Micro_F1_score: 0.5625
(2/2) Data: 1.033s | Batch: 2.835s | Total: 0:00:03 | ETA: 0:00:00 | Loss: 0.6653 | Accuracy: 0.5000 | Macro_F1_score: 0.2800 | Micro_F1_score: 0.5000
************Validation Stats*************
(1/2) Data: 0.110s | Batch: 2.497s | Total: 0:00:02 | ETA: 0:00:00 | Loss: 0.6361 | Accuracy: 0.7500 | Macro_F1_score: 0.4000 | Micro_F1_score: 0.7500
(2/2) Data: 1.358s | Batch: 3.771s | Total: 0:00:05 | ETA: 0:00:00 | Loss: 0.6387 | Accuracy: 0.6875 | Macro_F1_score: 0.3818 | Micro_F1_score: 0.6875
************Test Stats *************
 Epoch: [3 | 3]
(1/2) Data: 0.263s | Batch: 21.759s | Total: 0:00:21 | ETA: 0:00:00 | Loss: 1.9201 | Loss_x: 0.5330 | Loss_u: 0.0185 | W: 75.0000
(2/2) Data: 0.257s | Batch: 21.723s | Total: 0:00:43 | ETA: 0:00:00 | Loss: 1.6180 | Loss_x: 0.4718 | Loss_u: 0.0153 | W: 75.0000
************Train_stats*************
(1/2) Data: 0.101s | Batch: 1.900s | Total: 0:00:01 | ETA: 0:00:00 | Loss: 0.6820 | Accuracy: 0.3750 | Macro_F1_score: 0.2500 | Micro_F1_score: 0.3750
(2/2) Data: 1.044s | Batch: 2.875s | Total: 0:00:03 | ETA: 0:00:00 | Loss: 0.6579 | Accuracy: 0.5625 | Macro_F1_score: 0.3250 | Micro_F1_score: 0.5625
************Validation Stats*************
(1/2) Data: 0.107s | Batch: 2.540s | Total: 0:00:02 | ETA: 0:00:00 | Loss: 0.6355 | Accuracy: 0.7500 | Macro_F1_score: 0.4000 | Micro_F1_score: 0.7500
(2/2) Data: 1.378s | Batch: 3.794s | Total: 0:00:05 | ETA: 0:00:00 | Loss: 0.6382 | Accuracy: 0.6875 | Macro_F1_score: 0.3818 | Micro_F1_score: 0.6875
************Test Stats *************
**************Training has Finished**********************
