********Training has started***************
 Epoch: [1 | 3]
(1/2) Data: 0.194s | Batch: 21.804s | Total: 0:00:21 | ETA: 0:00:00 | Loss: 0.8774 | Loss_x: 0.7294 | Loss_u: 0.0059 | W: 25.0000
(2/2) Data: 0.218s | Batch: 21.966s | Total: 0:00:43 | ETA: 0:00:00 | Loss: 0.8516 | Loss_x: 0.6553 | Loss_u: 0.0062 | W: 31.2500
************Train_stats*************
(1/2) Data: 0.099s | Batch: 1.976s | Total: 0:00:01 | ETA: 0:00:00 | Loss: 0.7677 | Accuracy: 0.3750 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.3750
(2/2) Data: 1.088s | Batch: 2.944s | Total: 0:00:03 | ETA: 0:00:00 | Loss: 0.7043 | Accuracy: 0.5000 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.5000
************Validation Stats*************
(1/2) Data: 0.098s | Batch: 2.501s | Total: 0:00:02 | ETA: 0:00:00 | Loss: 0.7480 | Accuracy: 0.4375 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4375
(2/2) Data: 1.357s | Batch: 3.803s | Total: 0:00:05 | ETA: 0:00:00 | Loss: 0.7234 | Accuracy: 0.4688 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4688
************Test Stats *************
(1/75) Data: 0.104s | Batch: 2.529s | Total: 0:00:02 | ETA: 0:00:00 | Loss: 0.4783 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(2/75) Data: 1.365s | Batch: 3.789s | Total: 0:00:05 | ETA: 0:00:00 | Loss: 0.4752 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(3/75) Data: 2.625s | Batch: 5.042s | Total: 0:00:07 | ETA: 0:00:00 | Loss: 0.4655 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(4/75) Data: 3.879s | Batch: 6.292s | Total: 0:00:10 | ETA: 0:00:00 | Loss: 0.4671 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(5/75) Data: 5.133s | Batch: 7.545s | Total: 0:00:12 | ETA: 0:00:00 | Loss: 0.4677 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(6/75) Data: 6.386s | Batch: 8.804s | Total: 0:00:15 | ETA: 0:00:00 | Loss: 0.4667 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(7/75) Data: 7.648s | Batch: 10.075s | Total: 0:00:17 | ETA: 0:00:00 | Loss: 0.4711 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(8/75) Data: 8.916s | Batch: 11.349s | Total: 0:00:20 | ETA: 0:00:00 | Loss: 0.4727 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(9/75) Data: 10.190s | Batch: 12.616s | Total: 0:00:22 | ETA: 0:00:00 | Loss: 0.4714 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(10/75) Data: 11.457s | Batch: 13.887s | Total: 0:00:25 | ETA: 0:00:00 | Loss: 0.4712 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(11/75) Data: 12.728s | Batch: 15.158s | Total: 0:00:27 | ETA: 0:00:00 | Loss: 0.4723 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(12/75) Data: 14.000s | Batch: 16.428s | Total: 0:00:30 | ETA: 0:00:00 | Loss: 0.4733 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(13/75) Data: 15.270s | Batch: 17.709s | Total: 0:00:33 | ETA: 0:00:00 | Loss: 0.4733 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(14/75) Data: 16.550s | Batch: 19.003s | Total: 0:00:35 | ETA: 0:00:00 | Loss: 0.4725 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(15/75) Data: 17.842s | Batch: 20.316s | Total: 0:00:38 | ETA: 0:00:00 | Loss: 0.4714 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(16/75) Data: 19.155s | Batch: 21.642s | Total: 0:00:41 | ETA: 0:00:00 | Loss: 0.4704 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(17/75) Data: 20.479s | Batch: 22.975s | Total: 0:00:44 | ETA: 0:00:00 | Loss: 0.4710 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(18/75) Data: 21.811s | Batch: 24.315s | Total: 0:00:47 | ETA: 0:00:00 | Loss: 0.4730 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(19/75) Data: 23.147s | Batch: 25.648s | Total: 0:00:49 | ETA: 0:00:00 | Loss: 0.4733 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(20/75) Data: 24.478s | Batch: 26.972s | Total: 0:00:52 | ETA: 0:00:00 | Loss: 0.4732 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(21/75) Data: 25.800s | Batch: 28.294s | Total: 0:00:54 | ETA: 0:00:00 | Loss: 0.4719 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(22/75) Data: 27.120s | Batch: 29.609s | Total: 0:00:57 | ETA: 0:00:00 | Loss: 0.4731 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(23/75) Data: 28.433s | Batch: 30.920s | Total: 0:00:59 | ETA: 0:00:00 | Loss: 0.4728 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(24/75) Data: 29.743s | Batch: 32.228s | Total: 0:01:02 | ETA: 0:00:00 | Loss: 0.4738 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(25/75) Data: 31.051s | Batch: 33.535s | Total: 0:01:04 | ETA: 0:00:00 | Loss: 0.4749 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(26/75) Data: 32.356s | Batch: 34.837s | Total: 0:01:07 | ETA: 0:00:00 | Loss: 0.4748 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(27/75) Data: 33.658s | Batch: 36.138s | Total: 0:01:09 | ETA: 0:00:00 | Loss: 0.4769 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(28/75) Data: 34.958s | Batch: 37.434s | Total: 0:01:12 | ETA: 0:00:00 | Loss: 0.4775 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(29/75) Data: 36.254s | Batch: 38.730s | Total: 0:01:15 | ETA: 0:00:00 | Loss: 0.4761 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
(30/75) Data: 37.550s | Batch: 40.025s | Total: 0:01:17 | ETA: 0:00:00 | Loss: 0.4757 | Accuracy: 1.0000 | Macro_F1_score: 0.0000 | Micro_F1_score: 1.0000
