********Training has started***************
 Epoch: [1 | 30]
(1/512) Data: 0.177s | Batch: 23.190s | Total: 0:00:23 | ETA: 0:00:00 | Loss: 0.7692 | Loss_x: 0.7480 | Loss_u: 0.0085 | W: 2.5000
(2/512) Data: 0.210s | Batch: 23.168s | Total: 0:00:46 | ETA: 0:00:00 | Loss: 0.6967 | Loss_x: 0.6763 | Loss_u: 0.0082 | W: 2.5024
(3/512) Data: 0.245s | Batch: 23.853s | Total: 0:01:11 | ETA: 0:00:00 | Loss: 0.6582 | Loss_x: 0.6344 | Loss_u: 0.0095 | W: 2.5049
(4/512) Data: 0.253s | Batch: 23.684s | Total: 0:01:34 | ETA: 0:00:00 | Loss: 0.6195 | Loss_x: 0.5918 | Loss_u: 0.0110 | W: 2.5073
(5/512) Data: 0.250s | Batch: 23.360s | Total: 0:01:56 | ETA: 0:00:00 | Loss: 0.6163 | Loss_x: 0.5812 | Loss_u: 0.0140 | W: 2.5098
(6/512) Data: 0.250s | Batch: 23.099s | Total: 0:02:18 | ETA: 0:00:00 | Loss: 0.5988 | Loss_x: 0.5606 | Loss_u: 0.0152 | W: 2.5122
(7/512) Data: 0.248s | Batch: 22.913s | Total: 0:02:40 | ETA: 0:00:00 | Loss: 0.6012 | Loss_x: 0.5592 | Loss_u: 0.0167 | W: 2.5146
(8/512) Data: 0.247s | Batch: 22.770s | Total: 0:03:02 | ETA: 0:00:00 | Loss: 0.5663 | Loss_x: 0.5263 | Loss_u: 0.0158 | W: 2.5171
(9/512) Data: 0.247s | Batch: 22.656s | Total: 0:03:23 | ETA: 0:00:00 | Loss: 0.5539 | Loss_x: 0.5093 | Loss_u: 0.0177 | W: 2.5195
(10/512) Data: 0.245s | Batch: 22.573s | Total: 0:03:45 | ETA: 0:00:00 | Loss: 0.5464 | Loss_x: 0.4996 | Loss_u: 0.0185 | W: 2.5220
(11/512) Data: 0.245s | Batch: 22.503s | Total: 0:04:07 | ETA: 0:00:00 | Loss: 0.5362 | Loss_x: 0.4892 | Loss_u: 0.0186 | W: 2.5244
(12/512) Data: 0.246s | Batch: 22.443s | Total: 0:04:29 | ETA: 0:00:00 | Loss: 0.5508 | Loss_x: 0.4992 | Loss_u: 0.0204 | W: 2.5269
(13/512) Data: 0.244s | Batch: 22.392s | Total: 0:04:51 | ETA: 0:00:00 | Loss: 0.5579 | Loss_x: 0.5013 | Loss_u: 0.0223 | W: 2.5293
(14/512) Data: 0.243s | Batch: 22.340s | Total: 0:05:12 | ETA: 0:00:00 | Loss: 0.5374 | Loss_x: 0.4829 | Loss_u: 0.0215 | W: 2.5317
(15/512) Data: 0.243s | Batch: 22.302s | Total: 0:05:34 | ETA: 0:00:00 | Loss: 0.5287 | Loss_x: 0.4761 | Loss_u: 0.0207 | W: 2.5342
(16/512) Data: 0.242s | Batch: 22.310s | Total: 0:05:56 | ETA: 0:00:00 | Loss: 0.5174 | Loss_x: 0.4654 | Loss_u: 0.0205 | W: 2.5366
(17/512) Data: 0.243s | Batch: 22.311s | Total: 0:06:19 | ETA: 0:00:00 | Loss: 0.5085 | Loss_x: 0.4566 | Loss_u: 0.0204 | W: 2.5391
(18/512) Data: 0.241s | Batch: 22.271s | Total: 0:06:40 | ETA: 0:00:00 | Loss: 0.4923 | Loss_x: 0.4409 | Loss_u: 0.0202 | W: 2.5415
(19/512) Data: 0.241s | Batch: 22.243s | Total: 0:07:02 | ETA: 0:00:00 | Loss: 0.4965 | Loss_x: 0.4431 | Loss_u: 0.0209 | W: 2.5439
(20/512) Data: 0.241s | Batch: 22.210s | Total: 0:07:24 | ETA: 0:00:00 | Loss: 0.4888 | Loss_x: 0.4354 | Loss_u: 0.0209 | W: 2.5464
(21/512) Data: 0.240s | Batch: 22.174s | Total: 0:07:45 | ETA: 0:00:00 | Loss: 0.4815 | Loss_x: 0.4266 | Loss_u: 0.0215 | W: 2.5488
(22/512) Data: 0.241s | Batch: 22.144s | Total: 0:08:07 | ETA: 0:00:00 | Loss: 0.4692 | Loss_x: 0.4148 | Loss_u: 0.0213 | W: 2.5513
(23/512) Data: 0.241s | Batch: 22.117s | Total: 0:08:28 | ETA: 0:00:00 | Loss: 0.4761 | Loss_x: 0.4191 | Loss_u: 0.0222 | W: 2.5537
(24/512) Data: 0.241s | Batch: 22.096s | Total: 0:08:50 | ETA: 0:00:00 | Loss: 0.4831 | Loss_x: 0.4255 | Loss_u: 0.0225 | W: 2.5562
(25/512) Data: 0.242s | Batch: 22.083s | Total: 0:09:12 | ETA: 0:00:00 | Loss: 0.4772 | Loss_x: 0.4207 | Loss_u: 0.0220 | W: 2.5586
(26/512) Data: 0.242s | Batch: 22.063s | Total: 0:09:33 | ETA: 0:00:00 | Loss: 0.4789 | Loss_x: 0.4219 | Loss_u: 0.0222 | W: 2.5610
(27/512) Data: 0.241s | Batch: 22.045s | Total: 0:09:55 | ETA: 0:00:00 | Loss: 0.4662 | Loss_x: 0.4095 | Loss_u: 0.0221 | W: 2.5635
(28/512) Data: 0.241s | Batch: 22.029s | Total: 0:10:16 | ETA: 0:00:00 | Loss: 0.4551 | Loss_x: 0.3989 | Loss_u: 0.0219 | W: 2.5659
(29/512) Data: 0.240s | Batch: 22.015s | Total: 0:10:38 | ETA: 0:00:00 | Loss: 0.4568 | Loss_x: 0.4004 | Loss_u: 0.0219 | W: 2.5684
(30/512) Data: 0.240s | Batch: 22.006s | Total: 0:11:00 | ETA: 0:00:00 | Loss: 0.4542 | Loss_x: 0.3975 | Loss_u: 0.0220 | W: 2.5708
(31/512) Data: 0.240s | Batch: 21.995s | Total: 0:11:21 | ETA: 0:00:00 | Loss: 0.4465 | Loss_x: 0.3890 | Loss_u: 0.0223 | W: 2.5732
(32/512) Data: 0.240s | Batch: 21.980s | Total: 0:11:43 | ETA: 0:00:00 | Loss: 0.4409 | Loss_x: 0.3843 | Loss_u: 0.0219 | W: 2.5757
(33/512) Data: 0.240s | Batch: 21.967s | Total: 0:12:04 | ETA: 0:00:00 | Loss: 0.4464 | Loss_x: 0.3887 | Loss_u: 0.0223 | W: 2.5781
(34/512) Data: 0.240s | Batch: 21.954s | Total: 0:12:26 | ETA: 0:00:00 | Loss: 0.4385 | Loss_x: 0.3817 | Loss_u: 0.0220 | W: 2.5806
(35/512) Data: 0.241s | Batch: 21.944s | Total: 0:12:48 | ETA: 0:00:00 | Loss: 0.4333 | Loss_x: 0.3776 | Loss_u: 0.0216 | W: 2.5830
(36/512) Data: 0.241s | Batch: 21.932s | Total: 0:13:09 | ETA: 0:00:00 | Loss: 0.4302 | Loss_x: 0.3752 | Loss_u: 0.0213 | W: 2.5854
(37/512) Data: 0.240s | Batch: 21.924s | Total: 0:13:31 | ETA: 0:00:00 | Loss: 0.4335 | Loss_x: 0.3780 | Loss_u: 0.0214 | W: 2.5879
(38/512) Data: 0.240s | Batch: 21.917s | Total: 0:13:52 | ETA: 0:00:00 | Loss: 0.4371 | Loss_x: 0.3810 | Loss_u: 0.0216 | W: 2.5903
(39/512) Data: 0.240s | Batch: 21.905s | Total: 0:14:14 | ETA: 0:00:00 | Loss: 0.4348 | Loss_x: 0.3788 | Loss_u: 0.0216 | W: 2.5928
(40/512) Data: 0.239s | Batch: 21.896s | Total: 0:14:35 | ETA: 0:00:00 | Loss: 0.4329 | Loss_x: 0.3771 | Loss_u: 0.0215 | W: 2.5952
(41/512) Data: 0.239s | Batch: 21.889s | Total: 0:14:57 | ETA: 0:00:00 | Loss: 0.4265 | Loss_x: 0.3709 | Loss_u: 0.0214 | W: 2.5977
(42/512) Data: 0.239s | Batch: 21.882s | Total: 0:15:19 | ETA: 0:00:00 | Loss: 0.4205 | Loss_x: 0.3659 | Loss_u: 0.0210 | W: 2.6001
(43/512) Data: 0.239s | Batch: 21.876s | Total: 0:15:40 | ETA: 0:00:00 | Loss: 0.4166 | Loss_x: 0.3628 | Loss_u: 0.0207 | W: 2.6025
(44/512) Data: 0.239s | Batch: 21.870s | Total: 0:16:02 | ETA: 0:00:00 | Loss: 0.4098 | Loss_x: 0.3568 | Loss_u: 0.0204 | W: 2.6050
(45/512) Data: 0.239s | Batch: 21.863s | Total: 0:16:23 | ETA: 0:00:00 | Loss: 0.4057 | Loss_x: 0.3533 | Loss_u: 0.0201 | W: 2.6074
(46/512) Data: 0.239s | Batch: 21.858s | Total: 0:16:45 | ETA: 0:00:00 | Loss: 0.4055 | Loss_x: 0.3527 | Loss_u: 0.0203 | W: 2.6099
(47/512) Data: 0.239s | Batch: 21.855s | Total: 0:17:07 | ETA: 0:00:00 | Loss: 0.3989 | Loss_x: 0.3465 | Loss_u: 0.0201 | W: 2.6123
(48/512) Data: 0.239s | Batch: 21.851s | Total: 0:17:28 | ETA: 0:00:00 | Loss: 0.4007 | Loss_x: 0.3482 | Loss_u: 0.0201 | W: 2.6147
(49/512) Data: 0.239s | Batch: 21.844s | Total: 0:17:50 | ETA: 0:00:00 | Loss: 0.4031 | Loss_x: 0.3503 | Loss_u: 0.0202 | W: 2.6172
(50/512) Data: 0.239s | Batch: 21.840s | Total: 0:18:11 | ETA: 0:00:00 | Loss: 0.4071 | Loss_x: 0.3533 | Loss_u: 0.0206 | W: 2.6196
(51/512) Data: 0.239s | Batch: 21.837s | Total: 0:18:33 | ETA: 0:00:00 | Loss: 0.4036 | Loss_x: 0.3499 | Loss_u: 0.0205 | W: 2.6221
(52/512) Data: 0.239s | Batch: 21.835s | Total: 0:18:55 | ETA: 0:00:00 | Loss: 0.4055 | Loss_x: 0.3513 | Loss_u: 0.0206 | W: 2.6245
(53/512) Data: 0.238s | Batch: 21.829s | Total: 0:19:16 | ETA: 0:00:00 | Loss: 0.4038 | Loss_x: 0.3500 | Loss_u: 0.0205 | W: 2.6270
(54/512) Data: 0.239s | Batch: 21.826s | Total: 0:19:38 | ETA: 0:00:00 | Loss: 0.4047 | Loss_x: 0.3508 | Loss_u: 0.0205 | W: 2.6294
