********Training has started***************
 Epoch: [1 | 30]
(1/512) Data: 0.626s | Batch: 37.436s | Total: 0:00:37 | ETA: 0:00:00 | Loss: 0.7712 | Loss_x: 0.7504 | Loss_u: 0.0084 | W: 2.5000
(2/512) Data: 0.512s | Batch: 35.370s | Total: 0:01:10 | ETA: 0:00:00 | Loss: 0.7042 | Loss_x: 0.6848 | Loss_u: 0.0078 | W: 2.5024
(3/512) Data: 0.468s | Batch: 35.421s | Total: 0:01:46 | ETA: 0:00:00 | Loss: 0.6657 | Loss_x: 0.6450 | Loss_u: 0.0082 | W: 2.5049
(4/512) Data: 0.452s | Batch: 35.295s | Total: 0:02:21 | ETA: 0:00:00 | Loss: 0.6240 | Loss_x: 0.5971 | Loss_u: 0.0107 | W: 2.5073
(5/512) Data: 0.474s | Batch: 37.923s | Total: 0:03:09 | ETA: 0:00:00 | Loss: 0.6172 | Loss_x: 0.5855 | Loss_u: 0.0127 | W: 2.5098
(6/512) Data: 0.479s | Batch: 38.175s | Total: 0:03:49 | ETA: 0:00:00 | Loss: 0.6006 | Loss_x: 0.5644 | Loss_u: 0.0144 | W: 2.5122
(7/512) Data: 0.494s | Batch: 38.564s | Total: 0:04:29 | ETA: 0:00:00 | Loss: 0.6022 | Loss_x: 0.5627 | Loss_u: 0.0157 | W: 2.5146
(8/512) Data: 0.487s | Batch: 38.734s | Total: 0:05:09 | ETA: 0:00:00 | Loss: 0.5706 | Loss_x: 0.5323 | Loss_u: 0.0152 | W: 2.5171
(9/512) Data: 0.475s | Batch: 38.537s | Total: 0:05:46 | ETA: 0:00:00 | Loss: 0.5598 | Loss_x: 0.5152 | Loss_u: 0.0177 | W: 2.5195
(10/512) Data: 0.478s | Batch: 38.304s | Total: 0:06:23 | ETA: 0:00:00 | Loss: 0.5548 | Loss_x: 0.5059 | Loss_u: 0.0193 | W: 2.5220
(11/512) Data: 0.481s | Batch: 38.806s | Total: 0:07:06 | ETA: 0:00:00 | Loss: 0.5429 | Loss_x: 0.4941 | Loss_u: 0.0193 | W: 2.5244
(12/512) Data: 0.483s | Batch: 38.919s | Total: 0:07:47 | ETA: 0:00:00 | Loss: 0.5569 | Loss_x: 0.5041 | Loss_u: 0.0208 | W: 2.5269
(13/512) Data: 0.479s | Batch: 38.920s | Total: 0:08:25 | ETA: 0:00:00 | Loss: 0.5660 | Loss_x: 0.5071 | Loss_u: 0.0232 | W: 2.5293
(14/512) Data: 0.482s | Batch: 38.706s | Total: 0:09:01 | ETA: 0:00:00 | Loss: 0.5438 | Loss_x: 0.4877 | Loss_u: 0.0221 | W: 2.5317
(15/512) Data: 0.485s | Batch: 38.527s | Total: 0:09:37 | ETA: 0:00:00 | Loss: 0.5332 | Loss_x: 0.4782 | Loss_u: 0.0217 | W: 2.5342
(16/512) Data: 0.481s | Batch: 38.219s | Total: 0:10:11 | ETA: 0:00:00 | Loss: 0.5226 | Loss_x: 0.4685 | Loss_u: 0.0213 | W: 2.5366
(17/512) Data: 0.476s | Batch: 37.968s | Total: 0:10:45 | ETA: 0:00:00 | Loss: 0.5151 | Loss_x: 0.4604 | Loss_u: 0.0215 | W: 2.5391
(18/512) Data: 0.471s | Batch: 37.747s | Total: 0:11:19 | ETA: 0:00:00 | Loss: 0.4984 | Loss_x: 0.4443 | Loss_u: 0.0213 | W: 2.5415
(19/512) Data: 0.465s | Batch: 37.593s | Total: 0:11:54 | ETA: 0:00:00 | Loss: 0.5021 | Loss_x: 0.4459 | Loss_u: 0.0221 | W: 2.5439
(20/512) Data: 0.463s | Batch: 37.446s | Total: 0:12:28 | ETA: 0:00:00 | Loss: 0.4947 | Loss_x: 0.4389 | Loss_u: 0.0219 | W: 2.5464
(21/512) Data: 0.459s | Batch: 37.319s | Total: 0:13:03 | ETA: 0:00:00 | Loss: 0.4866 | Loss_x: 0.4298 | Loss_u: 0.0223 | W: 2.5488
(22/512) Data: 0.454s | Batch: 37.303s | Total: 0:13:40 | ETA: 0:00:00 | Loss: 0.4741 | Loss_x: 0.4179 | Loss_u: 0.0220 | W: 2.5513
(23/512) Data: 0.449s | Batch: 37.275s | Total: 0:14:17 | ETA: 0:00:00 | Loss: 0.4788 | Loss_x: 0.4201 | Loss_u: 0.0229 | W: 2.5537
(24/512) Data: 0.447s | Batch: 37.362s | Total: 0:14:56 | ETA: 0:00:00 | Loss: 0.4857 | Loss_x: 0.4265 | Loss_u: 0.0231 | W: 2.5562
(25/512) Data: 0.443s | Batch: 37.278s | Total: 0:15:31 | ETA: 0:00:00 | Loss: 0.4793 | Loss_x: 0.4217 | Loss_u: 0.0225 | W: 2.5586
(26/512) Data: 0.452s | Batch: 37.180s | Total: 0:16:06 | ETA: 0:00:00 | Loss: 0.4800 | Loss_x: 0.4220 | Loss_u: 0.0226 | W: 2.5610
(27/512) Data: 0.450s | Batch: 37.067s | Total: 0:16:40 | ETA: 0:00:00 | Loss: 0.4674 | Loss_x: 0.4101 | Loss_u: 0.0223 | W: 2.5635
(28/512) Data: 0.447s | Batch: 37.008s | Total: 0:17:16 | ETA: 0:00:00 | Loss: 0.4564 | Loss_x: 0.3997 | Loss_u: 0.0221 | W: 2.5659
(29/512) Data: 0.447s | Batch: 36.935s | Total: 0:17:51 | ETA: 0:00:00 | Loss: 0.4571 | Loss_x: 0.4010 | Loss_u: 0.0218 | W: 2.5684
(30/512) Data: 0.445s | Batch: 36.848s | Total: 0:18:25 | ETA: 0:00:00 | Loss: 0.4542 | Loss_x: 0.3976 | Loss_u: 0.0220 | W: 2.5708
(31/512) Data: 0.445s | Batch: 36.789s | Total: 0:19:00 | ETA: 0:00:00 | Loss: 0.4478 | Loss_x: 0.3896 | Loss_u: 0.0226 | W: 2.5732
(32/512) Data: 0.443s | Batch: 36.709s | Total: 0:19:34 | ETA: 0:00:00 | Loss: 0.4427 | Loss_x: 0.3854 | Loss_u: 0.0222 | W: 2.5757
(33/512) Data: 0.441s | Batch: 36.719s | Total: 0:20:11 | ETA: 0:00:00 | Loss: 0.4482 | Loss_x: 0.3901 | Loss_u: 0.0225 | W: 2.5781
(34/512) Data: 0.440s | Batch: 36.809s | Total: 0:20:51 | ETA: 0:00:00 | Loss: 0.4396 | Loss_x: 0.3829 | Loss_u: 0.0220 | W: 2.5806
(35/512) Data: 0.440s | Batch: 36.865s | Total: 0:21:30 | ETA: 0:00:00 | Loss: 0.4343 | Loss_x: 0.3786 | Loss_u: 0.0215 | W: 2.5830
(36/512) Data: 0.443s | Batch: 36.823s | Total: 0:22:05 | ETA: 0:00:00 | Loss: 0.4311 | Loss_x: 0.3761 | Loss_u: 0.0213 | W: 2.5854
(37/512) Data: 0.442s | Batch: 36.739s | Total: 0:22:39 | ETA: 0:00:00 | Loss: 0.4347 | Loss_x: 0.3791 | Loss_u: 0.0215 | W: 2.5879
(38/512) Data: 0.442s | Batch: 36.655s | Total: 0:23:12 | ETA: 0:00:00 | Loss: 0.4388 | Loss_x: 0.3827 | Loss_u: 0.0216 | W: 2.5903
(39/512) Data: 0.439s | Batch: 36.591s | Total: 0:23:47 | ETA: 0:00:00 | Loss: 0.4364 | Loss_x: 0.3807 | Loss_u: 0.0215 | W: 2.5928
(40/512) Data: 0.439s | Batch: 36.543s | Total: 0:24:21 | ETA: 0:00:00 | Loss: 0.4340 | Loss_x: 0.3785 | Loss_u: 0.0214 | W: 2.5952
(41/512) Data: 0.437s | Batch: 36.485s | Total: 0:24:55 | ETA: 0:00:00 | Loss: 0.4280 | Loss_x: 0.3728 | Loss_u: 0.0213 | W: 2.5977
(42/512) Data: 0.436s | Batch: 36.401s | Total: 0:25:28 | ETA: 0:00:00 | Loss: 0.4217 | Loss_x: 0.3676 | Loss_u: 0.0208 | W: 2.6001
(43/512) Data: 0.434s | Batch: 36.346s | Total: 0:26:02 | ETA: 0:00:00 | Loss: 0.4188 | Loss_x: 0.3652 | Loss_u: 0.0206 | W: 2.6025
