********Training has started***************
 Epoch: [1 | 30]
(1/512) Data: 0.236s | Batch: 27.574s | Total: 0:00:27 | ETA: 0:00:00 | Loss: 0.6519 | Loss_x: 0.6291 | Loss_u: 0.0091 | W: 2.5000
(2/512) Data: 0.253s | Batch: 27.010s | Total: 0:00:54 | ETA: 0:00:00 | Loss: 0.6487 | Loss_x: 0.6260 | Loss_u: 0.0090 | W: 2.5024
(3/512) Data: 0.291s | Batch: 26.913s | Total: 0:01:20 | ETA: 0:00:00 | Loss: 0.6019 | Loss_x: 0.5757 | Loss_u: 0.0104 | W: 2.5049
(4/512) Data: 0.288s | Batch: 26.652s | Total: 0:01:46 | ETA: 0:00:00 | Loss: 0.5844 | Loss_x: 0.5597 | Loss_u: 0.0098 | W: 2.5073
(5/512) Data: 0.283s | Batch: 26.408s | Total: 0:02:12 | ETA: 0:00:00 | Loss: 0.5818 | Loss_x: 0.5519 | Loss_u: 0.0119 | W: 2.5098
(6/512) Data: 0.276s | Batch: 25.983s | Total: 0:02:35 | ETA: 0:00:00 | Loss: 0.5697 | Loss_x: 0.5351 | Loss_u: 0.0138 | W: 2.5122
(7/512) Data: 0.276s | Batch: 25.721s | Total: 0:03:00 | ETA: 0:00:00 | Loss: 0.5738 | Loss_x: 0.5360 | Loss_u: 0.0150 | W: 2.5146
(8/512) Data: 0.275s | Batch: 25.477s | Total: 0:03:23 | ETA: 0:00:00 | Loss: 0.5452 | Loss_x: 0.5086 | Loss_u: 0.0145 | W: 2.5171
(9/512) Data: 0.275s | Batch: 25.870s | Total: 0:03:52 | ETA: 0:00:00 | Loss: 0.5420 | Loss_x: 0.4979 | Loss_u: 0.0175 | W: 2.5195
(10/512) Data: 0.279s | Batch: 26.155s | Total: 0:04:21 | ETA: 0:00:00 | Loss: 0.5374 | Loss_x: 0.4896 | Loss_u: 0.0189 | W: 2.5220
(11/512) Data: 0.281s | Batch: 26.216s | Total: 0:04:48 | ETA: 0:00:00 | Loss: 0.5267 | Loss_x: 0.4778 | Loss_u: 0.0193 | W: 2.5244
(12/512) Data: 0.289s | Batch: 26.374s | Total: 0:05:16 | ETA: 0:00:00 | Loss: 0.5424 | Loss_x: 0.4887 | Loss_u: 0.0212 | W: 2.5269
(13/512) Data: 0.289s | Batch: 26.243s | Total: 0:05:41 | ETA: 0:00:00 | Loss: 0.5498 | Loss_x: 0.4898 | Loss_u: 0.0237 | W: 2.5293
(14/512) Data: 0.288s | Batch: 26.252s | Total: 0:06:07 | ETA: 0:00:00 | Loss: 0.5281 | Loss_x: 0.4705 | Loss_u: 0.0227 | W: 2.5317
(15/512) Data: 0.289s | Batch: 26.135s | Total: 0:06:32 | ETA: 0:00:00 | Loss: 0.5167 | Loss_x: 0.4614 | Loss_u: 0.0218 | W: 2.5342
(16/512) Data: 0.287s | Batch: 26.008s | Total: 0:06:56 | ETA: 0:00:00 | Loss: 0.5064 | Loss_x: 0.4522 | Loss_u: 0.0213 | W: 2.5366
(17/512) Data: 0.287s | Batch: 25.891s | Total: 0:07:20 | ETA: 0:00:00 | Loss: 0.4956 | Loss_x: 0.4418 | Loss_u: 0.0212 | W: 2.5391
(18/512) Data: 0.286s | Batch: 25.775s | Total: 0:07:43 | ETA: 0:00:00 | Loss: 0.4798 | Loss_x: 0.4269 | Loss_u: 0.0208 | W: 2.5415
(19/512) Data: 0.284s | Batch: 25.673s | Total: 0:08:07 | ETA: 0:00:00 | Loss: 0.4818 | Loss_x: 0.4263 | Loss_u: 0.0218 | W: 2.5439
(20/512) Data: 0.283s | Batch: 25.604s | Total: 0:08:32 | ETA: 0:00:00 | Loss: 0.4753 | Loss_x: 0.4198 | Loss_u: 0.0218 | W: 2.5464
(21/512) Data: 0.282s | Batch: 25.528s | Total: 0:08:56 | ETA: 0:00:00 | Loss: 0.4698 | Loss_x: 0.4126 | Loss_u: 0.0224 | W: 2.5488
(22/512) Data: 0.282s | Batch: 25.473s | Total: 0:09:20 | ETA: 0:00:00 | Loss: 0.4575 | Loss_x: 0.4006 | Loss_u: 0.0222 | W: 2.5513
(23/512) Data: 0.282s | Batch: 25.414s | Total: 0:09:44 | ETA: 0:00:00 | Loss: 0.4633 | Loss_x: 0.4046 | Loss_u: 0.0229 | W: 2.5537
(24/512) Data: 0.281s | Batch: 25.365s | Total: 0:10:08 | ETA: 0:00:00 | Loss: 0.4698 | Loss_x: 0.4103 | Loss_u: 0.0232 | W: 2.5562
(25/512) Data: 0.281s | Batch: 25.316s | Total: 0:10:32 | ETA: 0:00:00 | Loss: 0.4669 | Loss_x: 0.4087 | Loss_u: 0.0227 | W: 2.5586
(26/512) Data: 0.283s | Batch: 25.280s | Total: 0:10:57 | ETA: 0:00:00 | Loss: 0.4675 | Loss_x: 0.4086 | Loss_u: 0.0229 | W: 2.5610
(27/512) Data: 0.281s | Batch: 25.235s | Total: 0:11:21 | ETA: 0:00:00 | Loss: 0.4544 | Loss_x: 0.3961 | Loss_u: 0.0227 | W: 2.5635
(28/512) Data: 0.281s | Batch: 25.198s | Total: 0:11:45 | ETA: 0:00:00 | Loss: 0.4422 | Loss_x: 0.3856 | Loss_u: 0.0220 | W: 2.5659
(29/512) Data: 0.280s | Batch: 25.164s | Total: 0:12:09 | ETA: 0:00:00 | Loss: 0.4435 | Loss_x: 0.3868 | Loss_u: 0.0220 | W: 2.5684
(30/512) Data: 0.279s | Batch: 25.156s | Total: 0:12:34 | ETA: 0:00:00 | Loss: 0.4398 | Loss_x: 0.3832 | Loss_u: 0.0220 | W: 2.5708
(31/512) Data: 0.280s | Batch: 25.132s | Total: 0:12:59 | ETA: 0:00:00 | Loss: 0.4333 | Loss_x: 0.3749 | Loss_u: 0.0226 | W: 2.5732
(32/512) Data: 0.280s | Batch: 25.106s | Total: 0:13:23 | ETA: 0:00:00 | Loss: 0.4279 | Loss_x: 0.3707 | Loss_u: 0.0222 | W: 2.5757
(33/512) Data: 0.279s | Batch: 25.087s | Total: 0:13:47 | ETA: 0:00:00 | Loss: 0.4288 | Loss_x: 0.3702 | Loss_u: 0.0227 | W: 2.5781
(34/512) Data: 0.279s | Batch: 25.076s | Total: 0:14:12 | ETA: 0:00:00 | Loss: 0.4208 | Loss_x: 0.3635 | Loss_u: 0.0222 | W: 2.5806
(35/512) Data: 0.279s | Batch: 25.050s | Total: 0:14:36 | ETA: 0:00:00 | Loss: 0.4164 | Loss_x: 0.3602 | Loss_u: 0.0217 | W: 2.5830
(36/512) Data: 0.279s | Batch: 25.032s | Total: 0:15:01 | ETA: 0:00:00 | Loss: 0.4137 | Loss_x: 0.3581 | Loss_u: 0.0215 | W: 2.5854
(37/512) Data: 0.279s | Batch: 25.016s | Total: 0:15:25 | ETA: 0:00:00 | Loss: 0.4195 | Loss_x: 0.3628 | Loss_u: 0.0219 | W: 2.5879
(38/512) Data: 0.278s | Batch: 25.012s | Total: 0:15:50 | ETA: 0:00:00 | Loss: 0.4262 | Loss_x: 0.3689 | Loss_u: 0.0221 | W: 2.5903
(39/512) Data: 0.279s | Batch: 25.005s | Total: 0:16:15 | ETA: 0:00:00 | Loss: 0.4243 | Loss_x: 0.3674 | Loss_u: 0.0219 | W: 2.5928
(40/512) Data: 0.279s | Batch: 24.992s | Total: 0:16:39 | ETA: 0:00:00 | Loss: 0.4237 | Loss_x: 0.3667 | Loss_u: 0.0219 | W: 2.5952
