********Training has started***************
 Epoch: [1 | 30]
(1/512) Data: 0.199s | Batch: 20.760s | Total: 0:00:20 | ETA: 0:00:00 | Loss: 0.6414 | Loss_x: 0.6219 | Loss_u: 0.0078 | W: 2.5000
(2/512) Data: 0.219s | Batch: 20.934s | Total: 0:00:41 | ETA: 0:00:00 | Loss: 0.6313 | Loss_x: 0.6124 | Loss_u: 0.0075 | W: 2.5024
(3/512) Data: 0.219s | Batch: 21.039s | Total: 0:01:03 | ETA: 0:00:00 | Loss: 0.5946 | Loss_x: 0.5714 | Loss_u: 0.0092 | W: 2.5049
(4/512) Data: 0.218s | Batch: 21.054s | Total: 0:01:24 | ETA: 0:00:00 | Loss: 0.5727 | Loss_x: 0.5485 | Loss_u: 0.0096 | W: 2.5073
(5/512) Data: 0.219s | Batch: 21.026s | Total: 0:01:45 | ETA: 0:00:00 | Loss: 0.5722 | Loss_x: 0.5427 | Loss_u: 0.0117 | W: 2.5098
(6/512) Data: 0.221s | Batch: 21.009s | Total: 0:02:06 | ETA: 0:00:00 | Loss: 0.5622 | Loss_x: 0.5279 | Loss_u: 0.0136 | W: 2.5122
(7/512) Data: 0.222s | Batch: 21.007s | Total: 0:02:27 | ETA: 0:00:00 | Loss: 0.5710 | Loss_x: 0.5341 | Loss_u: 0.0147 | W: 2.5146
(8/512) Data: 0.225s | Batch: 21.047s | Total: 0:02:48 | ETA: 0:00:00 | Loss: 0.5391 | Loss_x: 0.5023 | Loss_u: 0.0146 | W: 2.5171
(9/512) Data: 0.226s | Batch: 21.027s | Total: 0:03:09 | ETA: 0:00:00 | Loss: 0.5337 | Loss_x: 0.4894 | Loss_u: 0.0176 | W: 2.5195
(10/512) Data: 0.227s | Batch: 21.088s | Total: 0:03:30 | ETA: 0:00:00 | Loss: 0.5288 | Loss_x: 0.4797 | Loss_u: 0.0194 | W: 2.5220
(11/512) Data: 0.229s | Batch: 21.259s | Total: 0:03:53 | ETA: 0:00:00 | Loss: 0.5166 | Loss_x: 0.4673 | Loss_u: 0.0195 | W: 2.5244
(12/512) Data: 0.232s | Batch: 22.015s | Total: 0:04:24 | ETA: 0:00:00 | Loss: 0.5353 | Loss_x: 0.4815 | Loss_u: 0.0212 | W: 2.5269
(13/512) Data: 0.233s | Batch: 22.270s | Total: 0:04:49 | ETA: 0:00:00 | Loss: 0.5456 | Loss_x: 0.4864 | Loss_u: 0.0233 | W: 2.5293
(14/512) Data: 0.232s | Batch: 22.579s | Total: 0:05:16 | ETA: 0:00:00 | Loss: 0.5246 | Loss_x: 0.4679 | Loss_u: 0.0223 | W: 2.5317
(15/512) Data: 0.232s | Batch: 23.301s | Total: 0:05:49 | ETA: 0:00:00 | Loss: 0.5147 | Loss_x: 0.4601 | Loss_u: 0.0215 | W: 2.5342
(16/512) Data: 0.235s | Batch: 23.439s | Total: 0:06:15 | ETA: 0:00:00 | Loss: 0.5044 | Loss_x: 0.4499 | Loss_u: 0.0214 | W: 2.5366
(17/512) Data: 0.235s | Batch: 23.361s | Total: 0:06:37 | ETA: 0:00:00 | Loss: 0.4931 | Loss_x: 0.4396 | Loss_u: 0.0210 | W: 2.5391
(18/512) Data: 0.236s | Batch: 23.290s | Total: 0:06:59 | ETA: 0:00:00 | Loss: 0.4778 | Loss_x: 0.4256 | Loss_u: 0.0205 | W: 2.5415
(19/512) Data: 0.236s | Batch: 23.243s | Total: 0:07:21 | ETA: 0:00:00 | Loss: 0.4785 | Loss_x: 0.4243 | Loss_u: 0.0213 | W: 2.5439
(20/512) Data: 0.236s | Batch: 23.224s | Total: 0:07:44 | ETA: 0:00:00 | Loss: 0.4723 | Loss_x: 0.4182 | Loss_u: 0.0212 | W: 2.5464
(21/512) Data: 0.236s | Batch: 23.174s | Total: 0:08:06 | ETA: 0:00:00 | Loss: 0.4655 | Loss_x: 0.4100 | Loss_u: 0.0217 | W: 2.5488
(22/512) Data: 0.237s | Batch: 23.130s | Total: 0:08:28 | ETA: 0:00:00 | Loss: 0.4545 | Loss_x: 0.3987 | Loss_u: 0.0218 | W: 2.5513
(23/512) Data: 0.237s | Batch: 23.085s | Total: 0:08:50 | ETA: 0:00:00 | Loss: 0.4613 | Loss_x: 0.4032 | Loss_u: 0.0227 | W: 2.5537
(24/512) Data: 0.239s | Batch: 23.046s | Total: 0:09:13 | ETA: 0:00:00 | Loss: 0.4676 | Loss_x: 0.4090 | Loss_u: 0.0229 | W: 2.5562
(25/512) Data: 0.238s | Batch: 23.009s | Total: 0:09:35 | ETA: 0:00:00 | Loss: 0.4645 | Loss_x: 0.4075 | Loss_u: 0.0222 | W: 2.5586
(26/512) Data: 0.238s | Batch: 22.982s | Total: 0:09:57 | ETA: 0:00:00 | Loss: 0.4655 | Loss_x: 0.4072 | Loss_u: 0.0227 | W: 2.5610
(27/512) Data: 0.238s | Batch: 22.954s | Total: 0:10:19 | ETA: 0:00:00 | Loss: 0.4523 | Loss_x: 0.3946 | Loss_u: 0.0225 | W: 2.5635
(28/512) Data: 0.237s | Batch: 22.926s | Total: 0:10:41 | ETA: 0:00:00 | Loss: 0.4407 | Loss_x: 0.3845 | Loss_u: 0.0218 | W: 2.5659
(29/512) Data: 0.237s | Batch: 22.897s | Total: 0:11:04 | ETA: 0:00:00 | Loss: 0.4412 | Loss_x: 0.3849 | Loss_u: 0.0219 | W: 2.5684
(30/512) Data: 0.237s | Batch: 22.876s | Total: 0:11:26 | ETA: 0:00:00 | Loss: 0.4377 | Loss_x: 0.3819 | Loss_u: 0.0217 | W: 2.5708
(31/512) Data: 0.237s | Batch: 22.847s | Total: 0:11:48 | ETA: 0:00:00 | Loss: 0.4309 | Loss_x: 0.3737 | Loss_u: 0.0222 | W: 2.5732
(32/512) Data: 0.237s | Batch: 22.849s | Total: 0:12:11 | ETA: 0:00:00 | Loss: 0.4263 | Loss_x: 0.3699 | Loss_u: 0.0219 | W: 2.5757
(33/512) Data: 0.238s | Batch: 22.841s | Total: 0:12:33 | ETA: 0:00:00 | Loss: 0.4274 | Loss_x: 0.3698 | Loss_u: 0.0223 | W: 2.5781
(34/512) Data: 0.239s | Batch: 22.824s | Total: 0:12:56 | ETA: 0:00:00 | Loss: 0.4193 | Loss_x: 0.3631 | Loss_u: 0.0218 | W: 2.5806
(35/512) Data: 0.239s | Batch: 22.800s | Total: 0:13:18 | ETA: 0:00:00 | Loss: 0.4151 | Loss_x: 0.3599 | Loss_u: 0.0213 | W: 2.5830
(36/512) Data: 0.239s | Batch: 22.777s | Total: 0:13:39 | ETA: 0:00:00 | Loss: 0.4125 | Loss_x: 0.3579 | Loss_u: 0.0211 | W: 2.5854
(37/512) Data: 0.238s | Batch: 22.760s | Total: 0:14:02 | ETA: 0:00:00 | Loss: 0.4170 | Loss_x: 0.3619 | Loss_u: 0.0213 | W: 2.5879
(38/512) Data: 0.238s | Batch: 22.751s | Total: 0:14:24 | ETA: 0:00:00 | Loss: 0.4237 | Loss_x: 0.3674 | Loss_u: 0.0217 | W: 2.5903
(39/512) Data: 0.239s | Batch: 22.735s | Total: 0:14:46 | ETA: 0:00:00 | Loss: 0.4210 | Loss_x: 0.3655 | Loss_u: 0.0214 | W: 2.5928
(40/512) Data: 0.239s | Batch: 22.728s | Total: 0:15:09 | ETA: 0:00:00 | Loss: 0.4213 | Loss_x: 0.3654 | Loss_u: 0.0215 | W: 2.5952
