********Training has started***************
 Epoch: [1 | 30]
(1/512) Data: 0.182s | Batch: 20.270s | Total: 0:00:20 | ETA: 0:00:00 | Loss: 0.6876 | Loss_x: 0.6766 | Loss_u: 0.0044 | W: 2.5000
(2/512) Data: 0.199s | Batch: 22.719s | Total: 0:00:45 | ETA: 0:00:00 | Loss: 0.6707 | Loss_x: 0.6571 | Loss_u: 0.0055 | W: 2.5024
(3/512) Data: 0.241s | Batch: 23.856s | Total: 0:01:11 | ETA: 0:00:00 | Loss: 0.6462 | Loss_x: 0.6252 | Loss_u: 0.0084 | W: 2.5049
(4/512) Data: 0.257s | Batch: 23.990s | Total: 0:01:35 | ETA: 0:00:00 | Loss: 0.6268 | Loss_x: 0.6037 | Loss_u: 0.0092 | W: 2.5073
(5/512) Data: 0.264s | Batch: 23.747s | Total: 0:01:58 | ETA: 0:00:00 | Loss: 0.6189 | Loss_x: 0.5884 | Loss_u: 0.0121 | W: 2.5098
(6/512) Data: 0.258s | Batch: 23.570s | Total: 0:02:21 | ETA: 0:00:00 | Loss: 0.6097 | Loss_x: 0.5776 | Loss_u: 0.0128 | W: 2.5122
(7/512) Data: 0.253s | Batch: 23.431s | Total: 0:02:44 | ETA: 0:00:00 | Loss: 0.6152 | Loss_x: 0.5770 | Loss_u: 0.0152 | W: 2.5146
(8/512) Data: 0.249s | Batch: 23.380s | Total: 0:03:07 | ETA: 0:00:00 | Loss: 0.5920 | Loss_x: 0.5549 | Loss_u: 0.0147 | W: 2.5171
(9/512) Data: 0.248s | Batch: 23.271s | Total: 0:03:29 | ETA: 0:00:00 | Loss: 0.5830 | Loss_x: 0.5402 | Loss_u: 0.0169 | W: 2.5195
(10/512) Data: 0.245s | Batch: 23.182s | Total: 0:03:51 | ETA: 0:00:00 | Loss: 0.5698 | Loss_x: 0.5254 | Loss_u: 0.0176 | W: 2.5220
(11/512) Data: 0.245s | Batch: 23.116s | Total: 0:04:14 | ETA: 0:00:00 | Loss: 0.5565 | Loss_x: 0.5102 | Loss_u: 0.0183 | W: 2.5244
(12/512) Data: 0.245s | Batch: 23.128s | Total: 0:04:37 | ETA: 0:00:00 | Loss: 0.5657 | Loss_x: 0.5167 | Loss_u: 0.0193 | W: 2.5269
(13/512) Data: 0.251s | Batch: 23.163s | Total: 0:05:01 | ETA: 0:00:00 | Loss: 0.5754 | Loss_x: 0.5222 | Loss_u: 0.0210 | W: 2.5293
(14/512) Data: 0.252s | Batch: 23.129s | Total: 0:05:23 | ETA: 0:00:00 | Loss: 0.5564 | Loss_x: 0.5053 | Loss_u: 0.0201 | W: 2.5317
(15/512) Data: 0.250s | Batch: 23.070s | Total: 0:05:46 | ETA: 0:00:00 | Loss: 0.5442 | Loss_x: 0.4929 | Loss_u: 0.0202 | W: 2.5342
(16/512) Data: 0.249s | Batch: 23.013s | Total: 0:06:08 | ETA: 0:00:00 | Loss: 0.5382 | Loss_x: 0.4847 | Loss_u: 0.0210 | W: 2.5366
(17/512) Data: 0.250s | Batch: 22.968s | Total: 0:06:30 | ETA: 0:00:00 | Loss: 0.5258 | Loss_x: 0.4732 | Loss_u: 0.0207 | W: 2.5391
(18/512) Data: 0.249s | Batch: 22.944s | Total: 0:06:52 | ETA: 0:00:00 | Loss: 0.5116 | Loss_x: 0.4605 | Loss_u: 0.0201 | W: 2.5415
(19/512) Data: 0.248s | Batch: 22.920s | Total: 0:07:15 | ETA: 0:00:00 | Loss: 0.5085 | Loss_x: 0.4557 | Loss_u: 0.0207 | W: 2.5439
(20/512) Data: 0.248s | Batch: 22.893s | Total: 0:07:37 | ETA: 0:00:00 | Loss: 0.5039 | Loss_x: 0.4513 | Loss_u: 0.0206 | W: 2.5464
(21/512) Data: 0.247s | Batch: 22.860s | Total: 0:08:00 | ETA: 0:00:00 | Loss: 0.5022 | Loss_x: 0.4469 | Loss_u: 0.0217 | W: 2.5488
(22/512) Data: 0.248s | Batch: 22.992s | Total: 0:08:25 | ETA: 0:00:00 | Loss: 0.4899 | Loss_x: 0.4359 | Loss_u: 0.0211 | W: 2.5513
(23/512) Data: 0.251s | Batch: 23.030s | Total: 0:08:49 | ETA: 0:00:00 | Loss: 0.4944 | Loss_x: 0.4394 | Loss_u: 0.0215 | W: 2.5537
(24/512) Data: 0.250s | Batch: 23.359s | Total: 0:09:20 | ETA: 0:00:00 | Loss: 0.5008 | Loss_x: 0.4440 | Loss_u: 0.0222 | W: 2.5562
(25/512) Data: 0.253s | Batch: 23.333s | Total: 0:09:43 | ETA: 0:00:00 | Loss: 0.4974 | Loss_x: 0.4414 | Loss_u: 0.0218 | W: 2.5586
(26/512) Data: 0.252s | Batch: 23.303s | Total: 0:10:05 | ETA: 0:00:00 | Loss: 0.4937 | Loss_x: 0.4358 | Loss_u: 0.0225 | W: 2.5610
(27/512) Data: 0.251s | Batch: 23.275s | Total: 0:10:28 | ETA: 0:00:00 | Loss: 0.4801 | Loss_x: 0.4229 | Loss_u: 0.0223 | W: 2.5635
(28/512) Data: 0.251s | Batch: 23.243s | Total: 0:10:50 | ETA: 0:00:00 | Loss: 0.4694 | Loss_x: 0.4123 | Loss_u: 0.0222 | W: 2.5659
(29/512) Data: 0.249s | Batch: 23.222s | Total: 0:11:13 | ETA: 0:00:00 | Loss: 0.4675 | Loss_x: 0.4108 | Loss_u: 0.0220 | W: 2.5684
(30/512) Data: 0.248s | Batch: 23.195s | Total: 0:11:35 | ETA: 0:00:00 | Loss: 0.4626 | Loss_x: 0.4050 | Loss_u: 0.0224 | W: 2.5708
(31/512) Data: 0.248s | Batch: 23.168s | Total: 0:11:58 | ETA: 0:00:00 | Loss: 0.4548 | Loss_x: 0.3950 | Loss_u: 0.0231 | W: 2.5732
(32/512) Data: 0.247s | Batch: 23.146s | Total: 0:12:20 | ETA: 0:00:00 | Loss: 0.4503 | Loss_x: 0.3915 | Loss_u: 0.0227 | W: 2.5757
(33/512) Data: 0.247s | Batch: 23.123s | Total: 0:12:43 | ETA: 0:00:00 | Loss: 0.4551 | Loss_x: 0.3943 | Loss_u: 0.0235 | W: 2.5781
(34/512) Data: 0.247s | Batch: 23.109s | Total: 0:13:05 | ETA: 0:00:00 | Loss: 0.4479 | Loss_x: 0.3871 | Loss_u: 0.0234 | W: 2.5806
(35/512) Data: 0.246s | Batch: 23.093s | Total: 0:13:28 | ETA: 0:00:00 | Loss: 0.4435 | Loss_x: 0.3831 | Loss_u: 0.0233 | W: 2.5830
(36/512) Data: 0.246s | Batch: 23.072s | Total: 0:13:50 | ETA: 0:00:00 | Loss: 0.4472 | Loss_x: 0.3861 | Loss_u: 0.0235 | W: 2.5854
(37/512) Data: 0.245s | Batch: 23.057s | Total: 0:14:13 | ETA: 0:00:00 | Loss: 0.4538 | Loss_x: 0.3914 | Loss_u: 0.0240 | W: 2.5879
(38/512) Data: 0.245s | Batch: 23.043s | Total: 0:14:35 | ETA: 0:00:00 | Loss: 0.4563 | Loss_x: 0.3930 | Loss_u: 0.0243 | W: 2.5903
(39/512) Data: 0.245s | Batch: 23.030s | Total: 0:14:58 | ETA: 0:00:00 | Loss: 0.4544 | Loss_x: 0.3912 | Loss_u: 0.0243 | W: 2.5928
(40/512) Data: 0.244s | Batch: 23.014s | Total: 0:15:20 | ETA: 0:00:00 | Loss: 0.4558 | Loss_x: 0.3917 | Loss_u: 0.0246 | W: 2.5952
(41/512) Data: 0.244s | Batch: 22.999s | Total: 0:15:42 | ETA: 0:00:00 | Loss: 0.4474 | Loss_x: 0.3841 | Loss_u: 0.0243 | W: 2.5977
(42/512) Data: 0.244s | Batch: 22.991s | Total: 0:16:05 | ETA: 0:00:00 | Loss: 0.4420 | Loss_x: 0.3795 | Loss_u: 0.0240 | W: 2.6001
(43/512) Data: 0.243s | Batch: 22.984s | Total: 0:16:28 | ETA: 0:00:00 | Loss: 0.4377 | Loss_x: 0.3758 | Loss_u: 0.0237 | W: 2.6025
(44/512) Data: 0.242s | Batch: 22.968s | Total: 0:16:50 | ETA: 0:00:00 | Loss: 0.4312 | Loss_x: 0.3699 | Loss_u: 0.0235 | W: 2.6050
(45/512) Data: 0.242s | Batch: 22.959s | Total: 0:17:13 | ETA: 0:00:00 | Loss: 0.4261 | Loss_x: 0.3652 | Loss_u: 0.0233 | W: 2.6074
(46/512) Data: 0.242s | Batch: 22.943s | Total: 0:17:35 | ETA: 0:00:00 | Loss: 0.4266 | Loss_x: 0.3658 | Loss_u: 0.0233 | W: 2.6099
(47/512) Data: 0.242s | Batch: 22.931s | Total: 0:17:57 | ETA: 0:00:00 | Loss: 0.4209 | Loss_x: 0.3594 | Loss_u: 0.0235 | W: 2.6123
(48/512) Data: 0.241s | Batch: 22.919s | Total: 0:18:20 | ETA: 0:00:00 | Loss: 0.4211 | Loss_x: 0.3599 | Loss_u: 0.0233 | W: 2.6147
(49/512) Data: 0.241s | Batch: 22.912s | Total: 0:18:42 | ETA: 0:00:00 | Loss: 0.4246 | Loss_x: 0.3626 | Loss_u: 0.0236 | W: 2.6172
(50/512) Data: 0.242s | Batch: 22.902s | Total: 0:19:05 | ETA: 0:00:00 | Loss: 0.4286 | Loss_x: 0.3657 | Loss_u: 0.0240 | W: 2.6196
(51/512) Data: 0.241s | Batch: 22.892s | Total: 0:19:27 | ETA: 0:00:00 | Loss: 0.4251 | Loss_x: 0.3620 | Loss_u: 0.0240 | W: 2.6221
(52/512) Data: 0.241s | Batch: 22.885s | Total: 0:19:50 | ETA: 0:00:00 | Loss: 0.4267 | Loss_x: 0.3641 | Loss_u: 0.0238 | W: 2.6245
(53/512) Data: 0.241s | Batch: 22.876s | Total: 0:20:12 | ETA: 0:00:00 | Loss: 0.4241 | Loss_x: 0.3618 | Loss_u: 0.0236 | W: 2.6270
(54/512) Data: 0.240s | Batch: 22.868s | Total: 0:20:34 | ETA: 0:00:00 | Loss: 0.4241 | Loss_x: 0.3615 | Loss_u: 0.0237 | W: 2.6294
(55/512) Data: 0.240s | Batch: 22.860s | Total: 0:20:57 | ETA: 0:00:00 | Loss: 0.4202 | Loss_x: 0.3573 | Loss_u: 0.0238 | W: 2.6318
(56/512) Data: 0.240s | Batch: 22.850s | Total: 0:21:19 | ETA: 0:00:00 | Loss: 0.4184 | Loss_x: 0.3556 | Loss_u: 0.0238 | W: 2.6343
(57/512) Data: 0.240s | Batch: 22.841s | Total: 0:21:41 | ETA: 0:00:00 | Loss: 0.4161 | Loss_x: 0.3528 | Loss_u: 0.0239 | W: 2.6367
(58/512) Data: 0.240s | Batch: 22.834s | Total: 0:22:04 | ETA: 0:00:00 | Loss: 0.4159 | Loss_x: 0.3529 | Loss_u: 0.0238 | W: 2.6392
(59/512) Data: 0.239s | Batch: 22.827s | Total: 0:22:26 | ETA: 0:00:00 | Loss: 0.4189 | Loss_x: 0.3561 | Loss_u: 0.0237 | W: 2.6416
(60/512) Data: 0.239s | Batch: 22.819s | Total: 0:22:49 | ETA: 0:00:00 | Loss: 0.4203 | Loss_x: 0.3576 | Loss_u: 0.0237 | W: 2.6440
(61/512) Data: 0.239s | Batch: 22.812s | Total: 0:23:11 | ETA: 0:00:00 | Loss: 0.4216 | Loss_x: 0.3588 | Loss_u: 0.0237 | W: 2.6465
(62/512) Data: 0.238s | Batch: 22.803s | Total: 0:23:33 | ETA: 0:00:00 | Loss: 0.4194 | Loss_x: 0.3567 | Loss_u: 0.0236 | W: 2.6489
(63/512) Data: 0.239s | Batch: 22.796s | Total: 0:23:56 | ETA: 0:00:00 | Loss: 0.4191 | Loss_x: 0.3562 | Loss_u: 0.0237 | W: 2.6514
(64/512) Data: 0.239s | Batch: 22.791s | Total: 0:24:18 | ETA: 0:00:00 | Loss: 0.4195 | Loss_x: 0.3570 | Loss_u: 0.0235 | W: 2.6538
(65/512) Data: 0.239s | Batch: 22.786s | Total: 0:24:41 | ETA: 0:00:00 | Loss: 0.4183 | Loss_x: 0.3547 | Loss_u: 0.0239 | W: 2.6562
(66/512) Data: 0.239s | Batch: 22.778s | Total: 0:25:03 | ETA: 0:00:00 | Loss: 0.4141 | Loss_x: 0.3511 | Loss_u: 0.0237 | W: 2.6587
(67/512) Data: 0.238s | Batch: 22.775s | Total: 0:25:25 | ETA: 0:00:00 | Loss: 0.4147 | Loss_x: 0.3520 | Loss_u: 0.0235 | W: 2.6611
(68/512) Data: 0.238s | Batch: 22.770s | Total: 0:25:48 | ETA: 0:00:00 | Loss: 0.4171 | Loss_x: 0.3540 | Loss_u: 0.0236 | W: 2.6636
(69/512) Data: 0.238s | Batch: 22.763s | Total: 0:26:10 | ETA: 0:00:00 | Loss: 0.4198 | Loss_x: 0.3558 | Loss_u: 0.0239 | W: 2.6660
(70/512) Data: 0.238s | Batch: 22.756s | Total: 0:26:32 | ETA: 0:00:00 | Loss: 0.4190 | Loss_x: 0.3547 | Loss_u: 0.0240 | W: 2.6685
(71/512) Data: 0.238s | Batch: 22.751s | Total: 0:26:55 | ETA: 0:00:00 | Loss: 0.4157 | Loss_x: 0.3519 | Loss_u: 0.0238 | W: 2.6709
(72/512) Data: 0.238s | Batch: 22.746s | Total: 0:27:17 | ETA: 0:00:00 | Loss: 0.4120 | Loss_x: 0.3482 | Loss_u: 0.0238 | W: 2.6733
(73/512) Data: 0.238s | Batch: 22.741s | Total: 0:27:40 | ETA: 0:00:00 | Loss: 0.4129 | Loss_x: 0.3493 | Loss_u: 0.0237 | W: 2.6758
(74/512) Data: 0.238s | Batch: 22.736s | Total: 0:28:02 | ETA: 0:00:00 | Loss: 0.4125 | Loss_x: 0.3491 | Loss_u: 0.0236 | W: 2.6782
(75/512) Data: 0.238s | Batch: 22.734s | Total: 0:28:25 | ETA: 0:00:00 | Loss: 0.4137 | Loss_x: 0.3508 | Loss_u: 0.0235 | W: 2.6807
(76/512) Data: 0.238s | Batch: 22.730s | Total: 0:28:47 | ETA: 0:00:00 | Loss: 0.4110 | Loss_x: 0.3473 | Loss_u: 0.0237 | W: 2.6831
(77/512) Data: 0.237s | Batch: 22.728s | Total: 0:29:10 | ETA: 0:00:00 | Loss: 0.4078 | Loss_x: 0.3441 | Loss_u: 0.0237 | W: 2.6855
(78/512) Data: 0.237s | Batch: 22.722s | Total: 0:29:32 | ETA: 0:00:00 | Loss: 0.4120 | Loss_x: 0.3481 | Loss_u: 0.0237 | W: 2.6880
(79/512) Data: 0.237s | Batch: 22.716s | Total: 0:29:54 | ETA: 0:00:00 | Loss: 0.4133 | Loss_x: 0.3496 | Loss_u: 0.0236 | W: 2.6904
(80/512) Data: 0.237s | Batch: 22.717s | Total: 0:30:17 | ETA: 0:00:00 | Loss: 0.4135 | Loss_x: 0.3498 | Loss_u: 0.0237 | W: 2.6929
(81/512) Data: 0.238s | Batch: 22.712s | Total: 0:30:39 | ETA: 0:00:00 | Loss: 0.4145 | Loss_x: 0.3504 | Loss_u: 0.0237 | W: 2.6953
(82/512) Data: 0.237s | Batch: 22.708s | Total: 0:31:02 | ETA: 0:00:00 | Loss: 0.4150 | Loss_x: 0.3509 | Loss_u: 0.0237 | W: 2.6978
(83/512) Data: 0.237s | Batch: 22.704s | Total: 0:31:24 | ETA: 0:00:00 | Loss: 0.4116 | Loss_x: 0.3479 | Loss_u: 0.0236 | W: 2.7002
(84/512) Data: 0.237s | Batch: 22.700s | Total: 0:31:46 | ETA: 0:00:00 | Loss: 0.4107 | Loss_x: 0.3474 | Loss_u: 0.0234 | W: 2.7026
(85/512) Data: 0.237s | Batch: 22.696s | Total: 0:32:09 | ETA: 0:00:00 | Loss: 0.4091 | Loss_x: 0.3457 | Loss_u: 0.0234 | W: 2.7051
(86/512) Data: 0.237s | Batch: 22.691s | Total: 0:32:31 | ETA: 0:00:00 | Loss: 0.4109 | Loss_x: 0.3475 | Loss_u: 0.0234 | W: 2.7075
(87/512) Data: 0.236s | Batch: 22.687s | Total: 0:32:53 | ETA: 0:00:00 | Loss: 0.4095 | Loss_x: 0.3455 | Loss_u: 0.0236 | W: 2.7100
(88/512) Data: 0.236s | Batch: 22.683s | Total: 0:33:16 | ETA: 0:00:00 | Loss: 0.4131 | Loss_x: 0.3488 | Loss_u: 0.0237 | W: 2.7124
(89/512) Data: 0.236s | Batch: 22.678s | Total: 0:33:38 | ETA: 0:00:00 | Loss: 0.4123 | Loss_x: 0.3485 | Loss_u: 0.0235 | W: 2.7148
(90/512) Data: 0.236s | Batch: 22.675s | Total: 0:34:00 | ETA: 0:00:00 | Loss: 0.4148 | Loss_x: 0.3508 | Loss_u: 0.0236 | W: 2.7173
(91/512) Data: 0.236s | Batch: 22.669s | Total: 0:34:22 | ETA: 0:00:00 | Loss: 0.4137 | Loss_x: 0.3500 | Loss_u: 0.0234 | W: 2.7197
(92/512) Data: 0.236s | Batch: 22.667s | Total: 0:34:45 | ETA: 0:00:00 | Loss: 0.4160 | Loss_x: 0.3521 | Loss_u: 0.0235 | W: 2.7222
(93/512) Data: 0.236s | Batch: 22.664s | Total: 0:35:07 | ETA: 0:00:00 | Loss: 0.4157 | Loss_x: 0.3519 | Loss_u: 0.0234 | W: 2.7246
(94/512) Data: 0.236s | Batch: 22.661s | Total: 0:35:30 | ETA: 0:00:00 | Loss: 0.4140 | Loss_x: 0.3504 | Loss_u: 0.0233 | W: 2.7271
(95/512) Data: 0.235s | Batch: 22.656s | Total: 0:35:52 | ETA: 0:00:00 | Loss: 0.4137 | Loss_x: 0.3503 | Loss_u: 0.0233 | W: 2.7295
(96/512) Data: 0.235s | Batch: 22.652s | Total: 0:36:14 | ETA: 0:00:00 | Loss: 0.4145 | Loss_x: 0.3510 | Loss_u: 0.0233 | W: 2.7319
(97/512) Data: 0.236s | Batch: 22.649s | Total: 0:36:36 | ETA: 0:00:00 | Loss: 0.4133 | Loss_x: 0.3497 | Loss_u: 0.0233 | W: 2.7344
(98/512) Data: 0.235s | Batch: 22.646s | Total: 0:36:59 | ETA: 0:00:00 | Loss: 0.4121 | Loss_x: 0.3487 | Loss_u: 0.0232 | W: 2.7368
