********Training has started***************
 Epoch: [1 | 30]
(1/512) Data: 0.218s | Batch: 23.481s | Total: 0:00:23 | ETA: 0:00:00 | Loss: 0.6087 | Loss_x: 0.5909 | Loss_u: 0.0071 | W: 2.5000
(2/512) Data: 0.229s | Batch: 23.112s | Total: 0:00:46 | ETA: 0:00:00 | Loss: 0.6610 | Loss_x: 0.6383 | Loss_u: 0.0091 | W: 2.5024
(3/512) Data: 0.228s | Batch: 22.998s | Total: 0:01:09 | ETA: 0:00:00 | Loss: 0.6140 | Loss_x: 0.5872 | Loss_u: 0.0107 | W: 2.5049
(4/512) Data: 0.237s | Batch: 22.969s | Total: 0:01:31 | ETA: 0:00:00 | Loss: 0.5930 | Loss_x: 0.5666 | Loss_u: 0.0105 | W: 2.5073
(5/512) Data: 0.240s | Batch: 22.980s | Total: 0:01:54 | ETA: 0:00:00 | Loss: 0.5933 | Loss_x: 0.5629 | Loss_u: 0.0121 | W: 2.5098
(6/512) Data: 0.237s | Batch: 22.900s | Total: 0:02:17 | ETA: 0:00:00 | Loss: 0.5830 | Loss_x: 0.5501 | Loss_u: 0.0131 | W: 2.5122
(7/512) Data: 0.233s | Batch: 22.871s | Total: 0:02:40 | ETA: 0:00:00 | Loss: 0.5721 | Loss_x: 0.5352 | Loss_u: 0.0147 | W: 2.5146
(8/512) Data: 0.233s | Batch: 22.816s | Total: 0:03:02 | ETA: 0:00:00 | Loss: 0.5567 | Loss_x: 0.5203 | Loss_u: 0.0144 | W: 2.5171
(9/512) Data: 0.231s | Batch: 22.797s | Total: 0:03:25 | ETA: 0:00:00 | Loss: 0.5633 | Loss_x: 0.5178 | Loss_u: 0.0180 | W: 2.5195
(10/512) Data: 0.231s | Batch: 22.763s | Total: 0:03:47 | ETA: 0:00:00 | Loss: 0.5552 | Loss_x: 0.5048 | Loss_u: 0.0199 | W: 2.5220
(11/512) Data: 0.230s | Batch: 22.788s | Total: 0:04:10 | ETA: 0:00:00 | Loss: 0.5423 | Loss_x: 0.4918 | Loss_u: 0.0199 | W: 2.5244
(12/512) Data: 0.233s | Batch: 23.177s | Total: 0:04:38 | ETA: 0:00:00 | Loss: 0.5499 | Loss_x: 0.4986 | Loss_u: 0.0203 | W: 2.5269
(13/512) Data: 0.240s | Batch: 23.487s | Total: 0:05:05 | ETA: 0:00:00 | Loss: 0.5476 | Loss_x: 0.4939 | Loss_u: 0.0212 | W: 2.5293
(14/512) Data: 0.241s | Batch: 23.440s | Total: 0:05:28 | ETA: 0:00:00 | Loss: 0.5306 | Loss_x: 0.4789 | Loss_u: 0.0204 | W: 2.5317
(15/512) Data: 0.239s | Batch: 23.387s | Total: 0:05:50 | ETA: 0:00:00 | Loss: 0.5164 | Loss_x: 0.4650 | Loss_u: 0.0202 | W: 2.5342
(16/512) Data: 0.240s | Batch: 23.337s | Total: 0:06:13 | ETA: 0:00:00 | Loss: 0.5084 | Loss_x: 0.4567 | Loss_u: 0.0203 | W: 2.5366
(17/512) Data: 0.240s | Batch: 23.280s | Total: 0:06:35 | ETA: 0:00:00 | Loss: 0.4974 | Loss_x: 0.4448 | Loss_u: 0.0207 | W: 2.5391
