********Training has started***************
 Epoch: [1 | 30]
(1/512) Data: 0.718s | Batch: 24.315s | Total: 0:00:24 | ETA: 0:00:00 | Loss: 0.7072 | Loss_x: 0.6954 | Loss_u: 0.0047 | W: 2.5000
(2/512) Data: 0.717s | Batch: 24.428s | Total: 0:00:48 | ETA: 0:00:00 | Loss: 0.6430 | Loss_x: 0.6271 | Loss_u: 0.0063 | W: 2.5024
(3/512) Data: 0.710s | Batch: 24.392s | Total: 0:01:13 | ETA: 0:00:00 | Loss: 0.6144 | Loss_x: 0.5939 | Loss_u: 0.0082 | W: 2.5049
(4/512) Data: 0.713s | Batch: 24.537s | Total: 0:01:38 | ETA: 0:00:00 | Loss: 0.5902 | Loss_x: 0.5670 | Loss_u: 0.0092 | W: 2.5073
(5/512) Data: 0.733s | Batch: 25.126s | Total: 0:02:05 | ETA: 0:00:00 | Loss: 0.5876 | Loss_x: 0.5569 | Loss_u: 0.0122 | W: 2.5098
(6/512) Data: 0.715s | Batch: 25.362s | Total: 0:02:32 | ETA: 0:00:00 | Loss: 0.5705 | Loss_x: 0.5357 | Loss_u: 0.0138 | W: 2.5122
(7/512) Data: 0.703s | Batch: 25.245s | Total: 0:02:56 | ETA: 0:00:00 | Loss: 0.5812 | Loss_x: 0.5419 | Loss_u: 0.0156 | W: 2.5146
(8/512) Data: 0.697s | Batch: 25.106s | Total: 0:03:20 | ETA: 0:00:00 | Loss: 0.5518 | Loss_x: 0.5134 | Loss_u: 0.0152 | W: 2.5171
(9/512) Data: 0.686s | Batch: 24.924s | Total: 0:03:44 | ETA: 0:00:00 | Loss: 0.5399 | Loss_x: 0.4963 | Loss_u: 0.0172 | W: 2.5195
(10/512) Data: 0.686s | Batch: 24.867s | Total: 0:04:08 | ETA: 0:00:00 | Loss: 0.5326 | Loss_x: 0.4862 | Loss_u: 0.0184 | W: 2.5220
(11/512) Data: 0.676s | Batch: 24.736s | Total: 0:04:32 | ETA: 0:00:00 | Loss: 0.5241 | Loss_x: 0.4763 | Loss_u: 0.0189 | W: 2.5244
(12/512) Data: 0.673s | Batch: 24.654s | Total: 0:04:55 | ETA: 0:00:00 | Loss: 0.5424 | Loss_x: 0.4888 | Loss_u: 0.0212 | W: 2.5269
(13/512) Data: 0.666s | Batch: 24.559s | Total: 0:05:19 | ETA: 0:00:00 | Loss: 0.5525 | Loss_x: 0.4928 | Loss_u: 0.0236 | W: 2.5293
(14/512) Data: 0.666s | Batch: 24.480s | Total: 0:05:42 | ETA: 0:00:00 | Loss: 0.5338 | Loss_x: 0.4759 | Loss_u: 0.0228 | W: 2.5317
